"team1","team2","Result","outcome","Year.x","Year.x.x","Rk.x","G.x","W.x","L.x","W.L..x","SRS.x","SOS.x","W.1.x","L.1.x","W.2.x","L.2.x","W.3.x","L.3.x","Tm..x","Opp..x","X.x","MP.x","FG.x","FGA.x","FG..x","X3P.x","X3PA.x","X3P..x","FT.x","FTA.x","FT..x","ORB.x","TRB.x","AST.x","STL.x","BLK.x","TOV.x","PF.x","Year.y","Rk.y","G.y","W.y","L.y","W.L..y","SRS.y","SOS.y","W.1.y","L.1.y","W.2.y","L.2.y","W.3.y","L.3.y","Tm..y","Opp..y","X.y","MP.y","FG.y","FGA.y","FG..y","X3P.y","X3PA.y","X3P..y","FT.y","FTA.y","FT..y","ORB.y","TRB.y","AST.y","STL.y","BLK.y","TOV.y","PF.y"
"North Carolina","Texas Southern","W 103-64",1,17,17,214,40,33,7,0.825,24.84,11.76,14,4,16,0,6,5,3377,2824,NA,1605,1226,2633,0.466,283,798,0.355,642,916,0.701,630,1748,722,283,139,473,711,17,311,35,23,12,0.657,-6.41,-7.81,16,2,10,0,11,11,2593,2544,NA,1410,866,2015,0.43,205,693,0.296,656,893,0.735,401,1228,409,250,111,407,607
"Arizona","North Dakota","W 100-82",1,17,17,13,37,32,5,0.865,18.25,7.63,16,2,15,1,9,1,2833,2440,NA,1480,977,2048,0.477,244,625,0.39,635,830,0.765,380,1358,501,201,119,413,625,17,216,32,22,10,0.688,-1.83,-5.45,14,4,11,2,7,6,2578,2357,NA,1300,926,1919,0.483,228,585,0.39,498,698,0.713,297,1146,487,251,93,419,672
"Kansas","UC-Davis","W 100-62",1,17,17,141,36,31,5,0.861,23.53,12.23,16,2,14,1,10,1,2995,2588,NA,1455,1071,2193,0.488,318,787,0.404,535,789,0.678,428,1393,584,250,162,456,639,17,41,36,23,13,0.639,-5.21,-4.68,11,5,11,0,6,9,2525,2506,NA,1455,873,2008,0.435,221,635,0.348,558,828,0.674,364,1280,461,202,118,513,688
"Kansas","Purdue","W 98-66",1,17,17,141,36,31,5,0.861,23.53,12.23,16,2,14,1,10,1,2995,2588,NA,1455,1071,2193,0.488,318,787,0.404,535,789,0.678,428,1393,584,250,162,456,639,17,248,35,27,8,0.771,20.13,8.79,14,4,15,2,6,4,2790,2393,NA,1415,980,2044,0.479,315,782,0.403,515,680,0.757,344,1322,640,181,87,455,552
"UCLA","Kent State","W 97-80",1,17,17,320,36,31,5,0.861,20.67,6.39,15,3,16,1,8,2,3233,2719,NA,1440,1210,2320,0.522,354,872,0.406,459,622,0.738,343,1386,771,212,191,404,583,17,143,36,22,14,0.611,0.88,-1.63,10,8,10,6,7,5,2772,2628,NA,1465,986,2302,0.428,257,803,0.32,543,755,0.719,539,1454,449,230,134,465,685
"Kansas State","Wake Forest","W 95-88",1,17,17,140,35,21,14,0.6,14.8,10.48,8,10,11,5,5,6,2523,2372,NA,1405,869,1883,0.461,247,683,0.362,538,775,0.694,330,1132,521,271,130,453,630,17,333,33,19,14,0.576,14.19,9.8,9,9,11,3,5,8,2733,2588,NA,1320,923,1955,0.472,268,697,0.385,619,795,0.779,349,1199,512,183,121,389,668
"Oregon","Iona","W 93-77",1,17,17,236,39,33,6,0.846,20.8,8.38,16,2,17,0,7,3,3076,2565,NA,1565,1091,2270,0.481,334,880,0.38,560,787,0.712,412,1431,614,253,248,454,614,17,131,35,22,13,0.629,1.08,-2.47,12,8,8,4,7,7,2813,2689,NA,1415,979,2155,0.454,342,862,0.397,513,668,0.768,337,1250,541,239,108,421,669
"South Carolina","Marquette","W 93-73",1,17,17,278,37,26,11,0.703,17.52,10.16,12,6,15,3,6,5,2707,2414,NA,1505,924,2197,0.421,248,733,0.338,611,874,0.699,464,1346,468,288,142,480,751,17,165,32,19,13,0.594,15.26,8.6,10,8,14,3,4,6,2631,2418,NA,1285,919,1888,0.487,336,783,0.429,457,585,0.781,280,1058,525,231,115,396,620
"Michigan","Oklahoma State","W 92-91",1,17,17,178,38,26,12,0.684,18.8,10.17,10,8,15,3,3,8,2851,2523,NA,1535,1002,2076,0.483,361,937,0.385,486,624,0.779,280,1111,527,220,108,348,571,17,231,33,20,13,0.606,19.19,12.22,9,9,11,5,7,5,2828,2589,NA,1320,957,2050,0.467,294,732,0.402,620,786,0.789,454,1215,486,252,99,432,730
"North Carolina","Butler","W 92-80",1,17,17,214,40,33,7,0.825,24.84,11.76,14,4,16,0,6,5,3377,2824,NA,1605,1226,2633,0.466,283,798,0.355,642,916,0.701,630,1748,722,283,139,473,711,17,36,34,25,9,0.735,17.7,10.23,12,6,13,3,7,4,2595,2341,NA,1370,906,1898,0.477,261,714,0.366,522,704,0.741,287,1091,453,206,96,346,640
