".pred_class","truth","X1","team1","team2","Result","year","outcome","Year.x","Random.x","Season.x","SeasonStart.x","Year.y","Random.y","Season.y","SeasonStart.y","Year","List","T1MinutesPlayed","T2MinutesPlayed","T1FieldGoals","T2FieldGoals","T1FieldGoalAttpt","T2FieldGoalAttpt","T1FieldGoalPct","T2FieldGoalPct","T1FieldGoals2P","T2FieldGoals2P","T1FieldGoalAttpt2P","T2FieldGoalAttpt2P","T1FieldGoals2PPct","T2FieldGoals2PPct","T1FieldGoals3P","T2FieldGoals3P","T1FieldGoalAttpt3P","T2FieldGoalAttpt3P","T1FieldGoals3PPct","T2FieldGoals3PPct","T1FreeThrows","T2FreeThrows","T1FreeThrowAttpt","T2FreeThrowAttpt","T1FreeThrowPct","T2FreeThrowPct","T1GamesPlayed","T2GamesPlayed","T1GamesWon","T2GamesWon","T1GamesLost","T2GamesLost","T1WinLossRatio","T2WinLossRatio","T1PointsScored","T2PointsScored","T1FGA","T2FGA","T1R3G","T2R3G","T1Z","T2Z","scorebalance","accurate"
"1","1",3,"VCU","Purdue","W 94-76",2011,"1",11,100,"2010-11",2010,11,889,"2010-11",2010,11,3,8100,6825,968,875,2228,1957,0.434,0.447,629,640,1311,1312,0.48,0.488,339,235,917,645,0.37,0.364,589,481,824,673,0.715,0.715,40,34,28,26,12,8,0.7,0.765,2864,2466,0.26443447037702,0.245884006131834,0.258802440884821,0.178948170731707,1.07182169570798,0.922874406988782,0.148947288719195,0
"0","1",11,"West Virginia","Clemson","W 84-76",2011,"1",11,1497,"2010-11",2010,11,1395,"2010-11",2010,11,11,6600,6850,783,810,1826,1827,0.429,0.443,577,593,1215,1197,0.475,0.495,206,217,611,630,0.337,0.344,531,493,747,703,0.711,0.701,33,34,21,22,12,12,0.636,0.647,2303,2330,0.290863636363636,0.269733442802408,0.169470781893004,0.181052631578947,0.861873381709312,0.871977846019408,-0.0101044643100962,-1
"0","1",13,"Florida","BYU","W 83-74 (OT)",2011,"1",11,377,"2010-11",2010,11,39,"2010-11",2010,11,13,7575,7475,968,1019,2083,2267,0.465,0.449,735,707,1422,1402,0.517,0.504,233,312,661,865,0.352,0.361,498,662,744,865,0.669,0.765,37,37,29,32,8,5,0.784,0.865,2667,3012,0.238951512241959,0.291894574327305,0.163623066104079,0.222728245363766,0.998096530186164,1.12720912970406,-0.129112599517895,-1
"1","1",14,"UNC Asheville","Little Rock","W 81-77 (OT)",2011,"1",11,754,"2010-11",2010,11,919,"2010-11",2010,11,14,6951,7275,881,825,1950,1938,0.452,0.426,713,583,1435,1323,0.497,0.441,168,242,515,615,0.326,0.393,576,565,810,819,0.711,0.69,34,36,20,19,14,17,0.588,0.528,2506,2457,0.295338461538462,0.291594427244582,0.116996515679443,0.182687074829932,0.93784398374448,0.919506252218749,0.01833773152573,0
"1","0",16,"Oakland","Texas","L 81-85",2011,"0",11,46,"2010-11",2010,11,314,"2010-11",2010,11,16,7025,7250,1052,954,2137,2099,0.492,0.455,765,753,1370,1564,0.558,0.481,287,201,767,535,0.374,0.376,601,592,834,905,0.721,0.654,35,36,25,28,10,8,0.714,0.778,2992,2701,0.281382311651848,0.281977131967604,0.209385401459854,0.128618925831202,1.11972434132621,1.01082067042851,0.108903670897703,1
"1","1",17,"UNC","Marquette","W 81-63",2011,"1",11,96,"2010-11",2010,11,184,"2010-11",2010,11,17,7424,7425,1044,973,2317,2094,0.451,0.465,854,782,1738,1547,0.491,0.505,190,191,579,547,0.328,0.349,590,645,878,927,0.672,0.696,37,37,29,22,8,15,0.784,0.595,2868,2782,0.254646525679758,0.308114613180516,0.109270425776755,0.123402068519716,1.07331865338355,1.0411340633588,0.0321845900247506,0
"1","1",22,"Arizona","Memphis","W 77-75",2011,"1",11,78,"2010-11",2010,11,707,"2010-11",2010,11,22,7700,7075,969,891,2064,1975,0.469,0.451,673,681,1319,1336,0.51,0.51,296,210,745,639,0.397,0.329,671,532,899,782,0.746,0.68,38,35,30,25,8,10,0.789,0.714,2905,2524,0.324929263565891,0.269245569620253,0.22423426838514,0.157358532934132,1.08716551188257,0.944580293284544,0.142585218598023,0
"1","1",23,"Syracuse","Indiana State","W 77-60",2011,"1",11,598,"2010-11",2010,11,1731,"2010-11",2010,11,23,7050,6900,936,769,1983,1793,0.472,0.429,714,534,1355,1144,0.527,0.467,222,235,628,649,0.354,0.362,474,480,713,676,0.665,0.71,35,34,27,20,8,14,0.771,0.588,2568,2253,0.239104891578417,0.267685443390965,0.164067896678967,0.205365384615385,0.961046827715811,0.84316141076469,0.117885416951122,0
"1","1",25,"Kansas","Richmond","W 77-57",2011,"1",11,23,"2010-11",2010,11,572,"2010-11",2010,11,25,7625,7450,1114,922,2193,2007,0.508,0.459,843,635,1483,1272,0.568,0.499,271,287,710,735,0.382,0.39,585,446,862,649,0.679,0.687,38,37,35,29,3,8,0.921,0.784,3084,2577,0.266893752849977,0.222153961136024,0.182886041807148,0.225353773584906,1.15415436786432,0.964414982485843,0.189739385378472,0
"0","0",27,"Michigan State","UCLA","L 76-78",2011,"0",11,1361,"2010-11",2010,11,1189,"2010-11",2010,11,27,6874,6876,817,830,1894,1824,0.431,0.455,597,657,1274,1295,0.469,0.507,220,173,620,529,0.355,0.327,484,549,691,808,0.7,0.679,34,34,19,23,15,11,0.559,0.676,2338,2382,0.255385427666315,0.300785087719298,0.17276295133438,0.133577606177606,0.874971761370548,0.891438295801816,-0.0164665344312678,0
"0","0",28,"Purdue","VCU","L 76-94",2011,"0",11,889,"2010-11",2010,11,100,"2010-11",2010,11,28,6825,8100,875,968,1957,2228,0.447,0.434,640,629,1312,1311,0.488,0.48,235,339,645,917,0.364,0.37,481,589,673,824,0.715,0.715,34,40,26,28,8,12,0.765,0.7,2466,2864,0.245884006131834,0.26443447037702,0.178948170731707,0.258802440884821,0.922874406988782,1.07182169570798,-0.148947288719195,0
"0","1",29,"Kentucky","UNC","W 76-69",2011,"1",11,114,"2010-11",2010,11,96,"2010-11",2010,11,29,7625,7424,1002,1044,2183,2317,0.459,0.451,721,854,1476,1738,0.488,0.491,281,190,707,579,0.397,0.328,560,590,789,878,0.71,0.672,38,37,29,29,9,8,0.763,0.784,2845,2868,0.256614750343564,0.254646525679758,0.190161924119241,0.109270425776755,1.06471114674902,1.07331865338355,-0.00860750663452636,-1
"1","1",43,"Kansas","Illinois","W 73-59",2011,"1",11,23,"2010-11",2010,11,1079,"2010-11",2010,11,43,7625,6825,1114,894,2193,1910,0.508,0.468,843,662,1483,1310,0.568,0.505,271,232,710,600,0.382,0.387,585,393,862,539,0.679,0.729,38,34,35,20,3,14,0.921,0.588,3084,2413,0.266893752849977,0.205723036649215,0.182886041807148,0.177251908396947,1.15415436786432,0.903039717787482,0.251114650076834,0
"0","0",47,"St. John's (NY)","Gonzaga","L 71-86",2011,"0",11,1458,"2010-11",2010,11,346,"2010-11",2010,11,47,6625,7050,807,932,1773,1947,0.455,0.479,664,729,1346,1399,0.493,0.521,143,203,427,548,0.335,0.37,556,617,783,810,0.71,0.762,33,35,21,25,12,10,0.636,0.714,2313,2684,0.313553299492386,0.317010785824345,0.106274145616642,0.144932094353109,0.865615775898237,1.00445860030734,-0.138842824409099,0
"1","1",50,"San Diego State","Temple","W 71-64 (2OT)",2011,"1",11,386,"2010-11",2010,11,1129,"2010-11",2010,11,50,7450,6875,991,868,2141,1943,0.463,0.447,768,662,1502,1360,0.511,0.487,223,206,639,583,0.349,0.353,455,458,653,656,0.697,0.698,37,34,34,26,3,8,0.919,0.765,2660,2400,0.212583372255955,0.235660319094184,0.14847603195739,0.151322794117647,0.995476854253917,0.89817460534188,0.097302248912037,0
"0","0",53,"Florida State","VCU","L 71-72 (OT)",2011,"0",11,1313,"2010-11",2010,11,100,"2010-11",2010,11,53,6825,8100,827,968,1903,2228,0.435,0.434,615,629,1269,1311,0.485,0.48,212,339,634,917,0.334,0.37,482,589,725,824,0.665,0.715,34,40,23,28,11,12,0.676,0.7,2348,2864,0.253349973725696,0.26443447037702,0.166868400315209,0.258802440884821,0.878714155559472,1.07182169570798,-0.193107540148504,0
"0","1",55,"VCU","Kansas","W 71-61",2011,"1",11,100,"2010-11",2010,11,23,"2010-11",2010,11,55,8100,7625,968,1114,2228,2193,0.434,0.508,629,843,1311,1483,0.48,0.568,339,271,917,710,0.37,0.382,589,585,824,862,0.715,0.679,40,38,28,35,12,3,0.7,0.921,2864,3084,0.26443447037702,0.266893752849977,0.258802440884821,0.182886041807148,1.07182169570798,1.15415436786432,-0.0823326721563391,-1
"0","1",61,"Butler","VCU","W 70-62",2011,"1",11,302,"2010-11",2010,11,100,"2010-11",2010,11,61,7700,8100,919,968,2122,2228,0.433,0.434,630,629,1300,1311,0.485,0.48,289,339,822,917,0.352,0.37,580,589,799,824,0.726,0.715,38,40,28,28,10,12,0.737,0.7,2707,2864,0.27336192271442,0.26443447037702,0.222572307692308,0.258802440884821,1.01306610694186,1.07182169570798,-0.0587555887661146,-1
"1","1",63,"Notre Dame","Akron","W 69-56",2011,"1",11,626,"2010-11",2010,11,706,"2010-11",2010,11,63,6900,7325,843,892,1832,2073,0.46,0.43,570,609,1124,1288,0.507,0.473,273,283,708,785,0.386,0.361,599,457,827,649,0.724,0.704,34,36,27,23,7,13,0.794,0.639,2558,2524,0.326827510917031,0.22040328027014,0.243138790035587,0.220019409937888,0.957304433526887,0.944580293284544,0.0127241402423433,0
"1","1",68,"San Diego State","Northern Colo.","W 68-50",2011,"1",11,386,"2010-11",2010,11,1566,"2010-11",2010,11,68,7450,6400,991,731,2141,1708,0.463,0.428,768,477,1502,1051,0.511,0.454,223,254,639,657,0.349,0.387,455,571,653,742,0.697,0.77,37,32,34,21,3,11,0.919,0.656,2660,2287,0.212583372255955,0.334508196721311,0.14847603195739,0.241921027592769,0.995476854253917,0.855885551007033,0.139591303246884,0
"0","0",71,"San Diego State","UConn","L 67-74",2011,"0",11,386,"2010-11",2010,11,56,"2010-11",2010,11,71,7450,8350,991,1053,2141,2429,0.463,0.434,768,819,1502,1718,0.511,0.477,223,234,639,711,0.349,0.329,455,627,653,822,0.697,0.763,37,41,34,32,3,9,0.919,0.78,2660,2967,0.212583372255955,0.258207492795389,0.14847603195739,0.136157741559953,0.995476854253917,1.1103683558539,-0.114891501599982,0
"0","1",77,"Marquette","Syracuse","W 66-62",2011,"1",11,184,"2010-11",2010,11,598,"2010-11",2010,11,77,7425,7050,973,936,2094,1983,0.465,0.472,782,714,1547,1355,0.505,0.527,191,222,547,628,0.349,0.354,645,474,927,713,0.696,0.665,37,35,22,27,15,8,0.595,0.771,2782,2568,0.308114613180516,0.239104891578417,0.123402068519716,0.164067896678967,1.0411340633588,0.961046827715811,0.0800872356429844,-1
"1","1",79,"Purdue","St. Peter's","W 65-43",2011,"1",11,889,"2010-11",2010,11,2475,"2010-11",2010,11,79,6825,6828,875,713,1957,1782,0.447,0.4,640,516,1312,1209,0.488,0.427,235,197,645,573,0.364,0.344,481,446,673,693,0.715,0.644,34,34,26,20,8,14,0.765,0.588,2466,2069,0.245884006131834,0.250444444444444,0.178948170731707,0.163037220843672,0.922874406988782,0.774301357688479,0.148573049300303,0
"0","0",87,"West Virginia","Kentucky","L 63-71",2011,"0",11,1497,"2010-11",2010,11,114,"2010-11",2010,11,87,6600,7625,783,1002,1826,2183,0.429,0.459,577,721,1215,1476,0.475,0.488,206,281,611,707,0.337,0.397,531,560,747,789,0.711,0.71,33,38,21,29,12,9,0.636,0.763,2303,2845,0.290863636363636,0.256614750343564,0.169470781893004,0.190161924119241,0.861873381709312,1.06471114674902,-0.202837765039708,0
"0","0",88,"Marquette","UNC","L 63-81",2011,"0",11,184,"2010-11",2010,11,96,"2010-11",2010,11,88,7425,7424,973,1044,2094,2317,0.465,0.451,782,854,1547,1738,0.505,0.491,191,190,547,579,0.349,0.328,645,590,927,878,0.696,0.672,37,37,22,29,15,8,0.595,0.784,2782,2868,0.308114613180516,0.254646525679758,0.123402068519716,0.109270425776755,1.0411340633588,1.07331865338355,-0.0321845900247506,0
"1","0",96,"Louisville","Morehead State","L 61-62",2011,"0",11,466,"2010-11",2010,11,1082,"2010-11",2010,11,96,7125,7069,949,851,2097,1874,0.453,0.454,640,647,1243,1273,0.515,0.508,309,204,854,601,0.362,0.339,416,506,627,751,0.663,0.674,35,35,25,25,10,10,0.714,0.714,2623,2412,0.198236051502146,0.270103521878335,0.248711182622687,0.160046347211312,0.981629995754896,0.902665478368589,0.0789645173863069,1
"1","1",98,"Butler","Wisconsin","W 61-54",2011,"1",11,302,"2010-11",2010,11,1473,"2010-11",2010,11,98,7700,6849,919,798,2122,1808,0.433,0.441,630,520,1300,1064,0.485,0.489,289,278,822,744,0.352,0.374,580,436,799,533,0.726,0.818,38,34,28,25,10,9,0.737,0.735,2707,2310,0.27336192271442,0.241147123893805,0.222572307692308,0.261518796992481,1.01306610694186,0.864493057641559,0.148573049300303,0
"0","0",101,"Indiana State","Syracuse","L 60-77",2011,"0",11,1731,"2010-11",2010,11,598,"2010-11",2010,11,101,6900,7050,769,936,1793,1983,0.429,0.472,534,714,1144,1355,0.467,0.527,235,222,649,628,0.362,0.354,480,474,676,713,0.71,0.665,34,35,20,27,14,8,0.588,0.771,2253,2568,0.267685443390965,0.239104891578417,0.205365384615385,0.164067896678967,0.84316141076469,0.961046827715811,-0.117885416951122,0
"1","1",103,"VCU","USC","W 59-46",2011,"1",11,100,"2010-11",2010,11,1734,"2010-11",2010,11,103,8100,6825,968,813,2228,1832,0.434,0.444,629,609,1311,1255,0.48,0.485,339,204,917,577,0.37,0.354,589,422,824,648,0.715,0.651,40,34,28,19,12,15,0.7,0.559,2864,2252,0.26443447037702,0.230266375545852,0.258802440884821,0.162755378486056,1.07182169570798,0.842787171345797,0.229034524362179,0
"1","1",110,"Florida State","Texas A&M","W 57-50",2011,"1",11,1313,"2010-11",2010,11,1728,"2010-11",2010,11,110,6825,6700,827,758,1903,1719,0.435,0.441,615,577,1269,1185,0.485,0.487,212,181,634,534,0.334,0.339,482,557,725,799,0.665,0.697,34,33,23,24,11,9,0.676,0.727,2348,2254,0.253349973725696,0.323969168121001,0.166868400315209,0.152764556962025,0.878714155559472,0.843535650183582,0.0351785053758903,0
"1","0",114,"Akron","Notre Dame","L 56-69",2011,"0",11,706,"2010-11",2010,11,626,"2010-11",2010,11,114,7325,6900,892,843,2073,1832,0.43,0.46,609,570,1288,1124,0.473,0.507,283,273,785,708,0.361,0.386,457,599,649,827,0.704,0.724,36,34,23,27,13,7,0.639,0.794,2524,2558,0.22040328027014,0.326827510917031,0.220019409937888,0.243138790035587,0.944580293284544,0.957304433526887,-0.0127241402423433,1
"0","0",118,"Kentucky","UConn","L 55-56",2011,"0",11,114,"2010-11",2010,11,56,"2010-11",2010,11,118,7625,8350,1002,1053,2183,2429,0.459,0.434,721,819,1476,1718,0.488,0.477,281,234,707,711,0.397,0.329,560,627,789,822,0.71,0.763,38,41,29,32,9,9,0.763,0.78,2845,2967,0.256614750343564,0.258207492795389,0.190161924119241,0.136157741559953,1.06471114674902,1.1103683558539,-0.0456572091048788,0
"1","1",149,"Vanderbilt","Harvard","W 79-70",2012,"1",12,488,"2011-12",2011,12,2594,"2011-12",2011,12,149,7275,6225,885,695,1921,1490,0.461,0.466,578,510,1129,972,0.512,0.525,307,185,792,518,0.388,0.357,538,458,770,613,0.699,0.747,36,31,25,26,11,5,0.694,0.839,2615,2033,0.280182196772514,0.307322818791946,0.272184233835252,0.190253086419753,0.978636080403756,0.760828738608351,0.217807341795406,0
"0","0",165,"Creighton","UNC","L 73-87",2012,"0",12,203,"2011-12",2011,12,16,"2011-12",2011,12,165,7050,7625,975,1134,1935,2473,0.504,0.459,688,940,1258,1893,0.547,0.497,287,194,677,580,0.424,0.334,535,629,737,922,0.726,0.682,35,38,29,32,6,6,0.829,0.842,2772,3091,0.276517829457364,0.254267691063486,0.228178060413355,0.102334918119387,1.03739166916987,1.15677404379656,-0.119382374626692,0
"0","0",179,"Syracuse","Ohio State","L 70-77",2012,"0",12,244,"2011-12",2011,12,75,"2011-12",2011,12,179,7425,7800,1006,1057,2156,2219,0.467,0.476,773,858,1488,1623,0.519,0.529,233,199,668,596,0.349,0.334,495,600,709,846,0.698,0.709,37,39,34,31,3,8,0.919,0.795,2740,2913,0.229537105751391,0.270308246958089,0.156674731182796,0.122651879235983,1.02541600776531,1.09015942723371,-0.0647434194683938,0
"1","1",181,"Louisville","Davidson","W 69-62",2012,"1",12,269,"2011-12",2011,12,590,"2011-12",2011,12,181,8100,6650,963,879,2281,1969,0.422,0.446,730,624,1548,1209,0.472,0.516,233,255,733,760,0.318,0.336,568,558,826,731,0.688,0.763,40,33,30,25,10,8,0.75,0.758,2727,2571,0.249139850942569,0.283267140680549,0.150577519379845,0.2112158808933,1.02055089531971,0.962169545972489,0.0583813493472222,0
"0","0",201,"UNC Asheville","Syracuse","L 65-72",2012,"0",12,241,"2011-12",2011,12,244,"2011-12",2011,12,201,6824,7425,920,1006,1907,2156,0.482,0.467,697,773,1278,1488,0.545,0.519,223,233,629,668,0.355,0.349,682,495,893,709,0.764,0.698,34,37,24,34,10,3,0.706,0.919,2745,2740,0.357761929732564,0.229537105751391,0.174722222222222,0.156674731182796,1.02728720485977,1.02541600776531,0.00187119709446226,0
"1","1",202,"Cincinnati","Texas","W 65-59",2012,"1",12,712,"2011-12",2011,12,878,"2011-12",2011,12,202,7500,6850,924,836,2194,1927,0.421,0.434,664,639,1431,1326,0.464,0.482,260,197,763,601,0.341,0.328,414,601,643,820,0.644,0.733,37,34,26,20,11,14,0.703,0.588,2522,2470,0.18873837739289,0.311914893617021,0.181819007686932,0.148663650075415,0.943831814446759,0.924371364664351,0.0194604497824074,0
"1","0",208,"UNLV","Colorado","L 64-68",2012,"0",12,371,"2011-12",2011,12,1012,"2011-12",2011,12,208,7125,7225,942,835,2062,1874,0.457,0.446,651,636,1263,1302,0.515,0.488,291,199,799,572,0.364,0.348,496,560,734,810,0.676,0.691,35,36,26,24,9,12,0.743,0.667,2671,2429,0.240632395732299,0.29867129135539,0.23027395091053,0.152884792626728,0.999593487861734,0.909027548489761,0.0905659393719729,1
"1","0",225,"Ohio State","Kansas","L 62-64",2012,"0",12,75,"2011-12",2011,12,98,"2011-12",2011,12,225,7800,7825,1057,1023,2219,2169,0.476,0.472,858,801,1623,1526,0.529,0.525,199,222,596,643,0.334,0.345,600,597,846,863,0.709,0.692,39,39,31,32,8,7,0.795,0.821,2913,2865,0.270308246958089,0.275332411249424,0.122651879235983,0.145370249017038,1.09015942723371,1.07219593512687,0.0179634921068375,1
"0","1",232,"Wisconsin","Vanderbilt","W 60-57",2012,"1",12,1489,"2011-12",2011,12,488,"2011-12",2011,12,232,7250,7275,797,885,1875,1921,0.425,0.461,512,578,1100,1129,0.465,0.512,285,307,775,792,0.368,0.388,425,538,575,770,0.739,0.699,36,36,26,25,10,11,0.722,0.694,2304,2615,0.226626666666667,0.280182196772514,0.259272727272727,0.272184233835252,0.862247621128205,0.978636080403756,-0.116388459275552,-1
"1","1",234,"Kansas","NC State","W 60-57",2012,"1",12,98,"2011-12",2011,12,321,"2011-12",2011,12,234,7825,7425,1023,977,2169,2134,0.472,0.458,801,779,1526,1577,0.525,0.494,222,198,643,557,0.345,0.355,597,545,863,774,0.692,0.704,39,37,32,24,7,13,0.821,0.649,2865,2697,0.275332411249424,0.255340206185567,0.145370249017038,0.125386810399493,1.07219593512687,1.00932371275294,0.0628722223739315,0
