"SOURCE","TARGET","tweet_number"
"J_ManEarthTruth","VincentCrypt46",1
"J_ManEarthTruth","YouTube",1
"StewartFDuBose1","realDonaldTrump",2
"StewartFDuBose1","YouTub",3
"LetsMoveOnward","YouTube",4
"LetsMoveOnward","YouTube",5
"KristinPanagak1","YouTube",8
"MattPhillips22","joerogan",9
"MattPhillips22","DrJudyAMikovits",9
"bonillajoed","AkiraChanArts",10
"Freedom55534265","gatewaypundit",11
"PrisselAlyssa","BretWeinstein",15
"bryanmccomas69","gatewaypundit",16
"HostetterGmail","gatewaypundit",17
"HostetterGmail","gatewaypundit",18
"HostetterGmail","gatewaypundit",19
"ANGELRama2007","YouTube",20
"djsepsis","ElevateUKclub",21
"djsepsis","BernieSanders",24
"djsepsis","YouTube",27
"djsepsis","OH2AZ78",29
"djsepsis","cathyurbanski1",29
"djsepsis","realDonaldTrump⁩",31
"djsepsis","gatewaypundit",32
"djsepsis","jimcramer",33
"djsepsis","AkiraChanArts",33
"djsepsis","getongab",34
"djsepsis","YouTube",35
"djsepsis","DrJudyAMikovits",37
"djsepsis","twitter",39
"djsepsis","youtube",39
"djsepsis","microsoft",39
"djsepsis","BillGates",39
"djsepsis","gatesfoundation",39
"djsepsis","melindagates",39
"djsepsis","AkiraChanArts",40
"djsepsis","realDonaldTrump",42
"djsepsis","Scavino45",42
"djsepsis","parscale",42
"djsepsis","TuckerCarlson",42
"djsepsis","seanhannity",42
"djsepsis","IngrahamAngle",42
"djsepsis","YouTube...",43
"LedfordLeland","gatewaypundit",53
"Thenew84","ChildrensHD",55
"LisaLKP4141","gatewaypundit",56
"LisaLKP4141","seanhannity",58
"LisaLKP4141","IngrahamAngle",58
"LisaLKP4141","TuckerCarlson",58
"LisaLKP4141","ChanelRion",58
"LisaLKP4141","realDonaldTrump",58
"Texas_MAGA_mom","gatewaypundit",62
"Texas_MAGA_mom","Melissa232220",64
"Texas_MAGA_mom","OANN",64
"Texas_MAGA_mom","gatewaypundit",65
"CAParalegalServ","POTUS",68
"Sheera_G","YouTube",71
"JaneStoddart1","YouTube",73
"donna57259304","gatewaypundit",74
"Sparta2427","htTweets",75
"wandhand","99freemind",76
"bellesouth826","YouTube",77
"MikeA67NY","YouTube",78
"MissMagnolia16","gatewaypundit",79
"MissMagnolia16","YouTube",80
"MissMagnolia16","POTUS",81
"MissMagnolia16","TheWhiteHouse",81
"MissMagnolia16","gatewaypundit",81
"cya_tl","YouTube",82
"rpkuhner","SheepKnowMore",85
"rpkuhner","SheepKnowMore",86
"rpkuhner","FollowGeorgeUSA",86
"Custis17","AholiabBezaleel",89
"Custis17","drawandstrike",89
"Custis17","Breaking911",89
"Elliottgator","gatewaypundit",93
"alabamamangreg","YouTube",94
"alabamamangreg","gatewaypundit",97
"barbara_moede","atensnut",99
"it8ntme","realDonaldTrump⁩",100
"Mollee777","YouTube",103
"DannySlavich","drewdyck",107
"MarjoT13","YouTube",108
"MarjoT13","CharlieDaniels",109
"MarjoT13","realDonaldTrump⁩",110
"miacalderara","YouTube",112
"beelisalane","gatewaypundit",113
"beelisalane","gatewaypundit",115
"DVGYM","gatewaypundit",124
"DVGYM","DrJudyAMikovits",125
"franksh86113616","gatewaypundit",127
"CivicDuty1776","gatewaypundit",128
"PWFD2020","YouTube",131
"PWFD2020","YouTube",132
"davo_robinson","YouTube",133
"InaDisguise","YouTube",134
"D_Eric_L","cenkuygur",135
"D_Eric_L","gatewaypundit",136
"urxclnc","IngrahamAngle",138
"urxclnc","seanhannity",138
"urxclnc","foxandfriends",138
"urxclnc","FoxNews",138
"urxclnc","realDonaldTrump",138
"Bigly4Trump","gatewaypundit",139
"Believer_79","gatewaypundit",140
"TerenceDean9","YouTube",147
"flgirl1179","gatewaypundit",150
"cynthia54831626","gatewaypundit",151
"cynthia54831626","POTUS",152
"cynthia54831626","realDonaldTrump",152
"MCoventry6","gatewaypundit",153
"MCoventry6","realDonaldTrump⁩",155
"CanMichelle","gatewaypundit",157
"RL26NC","gatewaypundit",158
"RL26NC","realDonaldTrump",158
"RL26NC","potus",158
"RL26NC","whitehouse",158
"RL26NC","vp",158
"RL26NC","PressSec",158
"RL26NC","gop",158
"RL26NC","OANN",158
"RL26NC","BreitbartNews",158
"RL26NC","gatewaypundit",158
"RL26NC","foxnews",158
"RL26NC","AkiraChanArts",159
"RL26NC","realDonaldTrump",159
"RL26NC","potus",159
"RL26NC","whitehouse",159
"RL26NC","vp",159
"RL26NC","PressSec",159
"RL26NC","gop",159
"RL26NC","OANN",159
"RL26NC","BreitbartNews",159
"RL26NC","gatewaypundit",159
"RL26NC","foxnews",159
"CJ5Rippin","gatewaypundit",161
"TammyJane21","YouTube",169
"RobertB93592595","gatewaypundit",172
"UGAbulldoggs","LisaMei62",174
"UGAbulldoggs","JamesOKeefeIII",174
"Maria4America","Maria4America",176
"Maria4America","PureMichGirl",176
"Maria4America","harleyquinley",176
"Maria4America","NYCMayor",176
"Itsasmiththang1","YouTube",177
"Itsasmiththang1","YouTube",178
"Itsasmiththang1","realDonaldTrump",178
"Martina83024810","EqualJustice017",179
"duelingpolitics","SteveDeaceShow",180
"duelingpolitics","DeaceProducer",180
"duelingpolitics","DeaceOnline",180
"Tinktweets45","DrJudyAMikovits",182
"freedomsrider","gatewaypundit",185
"RocknSell","YouTube",187
"JayJone63128204","gatewaypundit",188
"Mug72042923","gatewaypundit",189
"Iamcat62","POTUS",192
"Iamcat62","gatewaypundit",193
"Iamcat62","gatewaypundit",194
"Iamcat62","gatewaypundit",195
"Iamcat62","YouTube",196
"S1ph1wo","gatewaypundit",199
"kaymorg13","realDonaldTrump",200
