"team1","Schl","Result","year","outcome","Year.x","Random.x","Season.x","G.x","W.x","L.x","W.L..x","MP.x","FG.x","FGA.x","FG..x","X2P.x","X2PA.x","X2P..x","X3P.x","X3PA.x","X3P..x","FT.x","FTA.x","FT..x","PTS.x","SeasonStart.x","Year.y","Random.y","Season.y","G.y","W.y","L.y","W.L..y","MP.y","FG.y","FGA.y","FG..y","X2P.y","X2PA.y","X2P..y","X3P.y","X3PA.y","X3P..y","FT.y","FTA.y","FT..y","PTS.y","SeasonStart.y","Year"
"UNC","LIU","W 102-87",2011,1,11,96,"2010-11","37","29","8","0.784","7424","1044","2317","0.451","854","1738","0.491","190","579","0.328","590","878","0.672","2868","2010",11,261,"2010-11","33","27","6","0.818","6654","928","2009","0.462","699","1374","0.509","229","635","0.361","645","999","0.646","2730","2010",11
"Ohio State","George Mason","W 98-66",2011,1,11,106,"2010-11","37","34","3","0.919","7425","1017","2059","0.494","732","1385","0.529","285","674","0.423","535","763","0.701","2854","2010",11,864,"2010-11","34","27","7","0.794","6875","876","1861","0.471","649","1287","0.504","227","574","0.395","495","718","0.689","2474","2010",11
"VCU","Purdue","W 94-76",2011,1,11,100,"2010-11","40","28","12","0.7","8100","968","2228","0.434","629","1311","0.48","339","917","0.37","589","824","0.715","2864","2010",11,889,"2010-11","34","26","8","0.765","6825","875","1957","0.447","640","1312","0.488","235","645","0.364","481","673","0.715","2466","2010",11
"Arizona","Duke","W 93-77",2011,1,11,78,"2010-11","38","30","8","0.789","7700","969","2064","0.469","673","1319","0.51","296","745","0.397","671","899","0.746","2905","2010",11,45,"2010-11","37","32","5","0.865","7400","1040","2206","0.471","749","1428","0.525","291","778","0.374","622","826","0.753","2993","2010",11
"BYU","Gonzaga","W 89-67",2011,1,11,39,"2010-11","37","32","5","0.865","7475","1019","2267","0.449","707","1402","0.504","312","865","0.361","662","865","0.765","3012","2010",11,346,"2010-11","35","25","10","0.714","7050","932","1947","0.479","729","1399","0.521","203","548","0.37","617","810","0.762","2684","2010",11
"Duke","Hampton","W 87-45",2011,1,11,45,"2010-11","37","32","5","0.865","7400","1040","2206","0.471","749","1428","0.525","291","778","0.374","622","826","0.753","2993","2010",11,1974,"2010-11","33","24","9","0.727","6700","746","1843","0.405","533","1185","0.45","213","658","0.324","492","759","0.648","2197","2010",11
"LIU","UNC","L 87-102",2011,0,11,261,"2010-11","33","27","6","0.818","6654","928","2009","0.462","699","1374","0.509","229","635","0.361","645","999","0.646","2730","2010",11,96,"2010-11","37","29","8","0.784","7424","1044","2317","0.451","854","1738","0.491","190","579","0.328","590","878","0.672","2868","2010",11
"Gonzaga","St. John's (NY)","W 86-71",2011,1,11,346,"2010-11","35","25","10","0.714","7050","932","1947","0.479","729","1399","0.521","203","548","0.37","617","810","0.762","2684","2010",11,1458,"2010-11","33","21","12","0.636","6625","807","1773","0.455","664","1346","0.493","143","427","0.335","556","783","0.71","2313","2010",11
"UNC","Washington","W 86-83",2011,1,11,96,"2010-11","37","29","8","0.784","7424","1044","2317","0.451","854","1738","0.491","190","579","0.328","590","878","0.672","2868","2010",11,77,"2010-11","35","24","11","0.686","7050","1061","2260","0.469","756","1439","0.525","305","821","0.371","480","712","0.674","2907","2010",11
"Texas","Oakland","W 85-81",2011,1,11,314,"2010-11","36","28","8","0.778","7250","954","2099","0.455","753","1564","0.481","201","535","0.376","592","905","0.654","2701","2010",11,46,"2010-11","35","25","10","0.714","7025","1052","2137","0.492","765","1370","0.558","287","767","0.374","601","834","0.721","2992","2010",11
