,team1,team2,Result,year,outcome,Year.x,Random.x,Season.x,SeasonStart.x,Year.y,Random.y,Season.y,SeasonStart.y,Year,List,T1MinutesPlayed,T2MinutesPlayed,T1FieldGoals,T2FieldGoals,T1FieldGoalAttpt,T2FieldGoalAttpt,T1FieldGoalPct,T2FieldGoalPct,T1FieldGoals2P,T2FieldGoals2P,T1FieldGoalAttpt2P,T2FieldGoalAttpt2P,T1FieldGoals2PPct,T2FieldGoals2PPct,T1FieldGoals3P,T2FieldGoals3P,T1FieldGoalAttpt3P,T2FieldGoalAttpt3P,T1FieldGoals3PPct,T2FieldGoals3PPct,T1FreeThrows,T2FreeThrows,T1FreeThrowAttpt,T2FreeThrowAttpt,T1FreeThrowPct,T2FreeThrowPct,T1GamesPlayed,T2GamesPlayed,T1GamesWon,T2GamesWon,T1GamesLost,T2GamesLost,T1WinLossRatio,T2WinLossRatio,T1PointsScored,T2PointsScored
1,UNC,LIU,W 102-87,2011,1,11,96,2010-11,2010,11,261,2010-11,2010,11,1,7424,6654,1044,928,2317,2009,0.451,0.462,854,699,1738,1374,0.491,0.509,190,229,579,635,0.328,0.361,590,645,878,999,0.672,0.646,37,33,29,27,8,6,0.784,0.818,2868,2730
2,Ohio State,George Mason,W 98-66,2011,1,11,106,2010-11,2010,11,864,2010-11,2010,11,2,7425,6875,1017,876,2059,1861,0.494,0.471,732,649,1385,1287,0.529,0.504,285,227,674,574,0.423,0.395,535,495,763,718,0.701,0.689,37,34,34,27,3,7,0.919,0.794,2854,2474
3,VCU,Purdue,W 94-76,2011,1,11,100,2010-11,2010,11,889,2010-11,2010,11,3,8100,6825,968,875,2228,1957,0.434,0.447,629,640,1311,1312,0.48,0.488,339,235,917,645,0.37,0.364,589,481,824,673,0.715,0.715,40,34,28,26,12,8,0.7,0.765,2864,2466
4,Arizona,Duke,W 93-77,2011,1,11,78,2010-11,2010,11,45,2010-11,2010,11,4,7700,7400,969,1040,2064,2206,0.469,0.471,673,749,1319,1428,0.51,0.525,296,291,745,778,0.397,0.374,671,622,899,826,0.746,0.753,38,37,30,32,8,5,0.789,0.865,2905,2993
5,BYU,Gonzaga,W 89-67,2011,1,11,39,2010-11,2010,11,346,2010-11,2010,11,5,7475,7050,1019,932,2267,1947,0.449,0.479,707,729,1402,1399,0.504,0.521,312,203,865,548,0.361,0.37,662,617,865,810,0.765,0.762,37,35,32,25,5,10,0.865,0.714,3012,2684
6,Duke,Hampton,W 87-45,2011,1,11,45,2010-11,2010,11,1974,2010-11,2010,11,6,7400,6700,1040,746,2206,1843,0.471,0.405,749,533,1428,1185,0.525,0.45,291,213,778,658,0.374,0.324,622,492,826,759,0.753,0.648,37,33,32,24,5,9,0.865,0.727,2993,2197
7,LIU,UNC,L 87-102,2011,0,11,261,2010-11,2010,11,96,2010-11,2010,11,7,6654,7424,928,1044,2009,2317,0.462,0.451,699,854,1374,1738,0.509,0.491,229,190,635,579,0.361,0.328,645,590,999,878,0.646,0.672,33,37,27,29,6,8,0.818,0.784,2730,2868
8,Gonzaga,St. John's (NY),W 86-71,2011,1,11,346,2010-11,2010,11,1458,2010-11,2010,11,8,7050,6625,932,807,1947,1773,0.479,0.455,729,664,1399,1346,0.521,0.493,203,143,548,427,0.37,0.335,617,556,810,783,0.762,0.71,35,33,25,21,10,12,0.714,0.636,2684,2313
9,UNC,Washington,W 86-83,2011,1,11,96,2010-11,2010,11,77,2010-11,2010,11,9,7424,7050,1044,1061,2317,2260,0.451,0.469,854,756,1738,1439,0.491,0.525,190,305,579,821,0.328,0.371,590,480,878,712,0.672,0.674,37,35,29,24,8,11,0.784,0.686,2868,2907
10,Texas,Oakland,W 85-81,2011,1,11,314,2010-11,2010,11,46,2010-11,2010,11,10,7250,7025,954,1052,2099,2137,0.455,0.492,753,765,1564,1370,0.481,0.558,201,287,535,767,0.376,0.374,592,601,905,834,0.654,0.721,36,35,28,25,8,10,0.778,0.714,2701,2992
