"SOURCE","TARGET","tweet_number"
"LexDeeley","OefileP",3
"LexDeeley","Santos_Enugbe",3
"LexDeeley","Paa_Lash",3
"LexDeeley","buddyankie",3
"lcasashildeshe1","X22Report",6
"CloneDwarf","YouTube",9
"ADeplorable12","TheJusticeDept",11
"ADeplorable12","POTUS",11
"ADeplorable12","realDonaldTrump",11
"SchemppShawn","burgessvillian",12
"SchemppShawn","spikestabber",12
"SchemppShawn","aaronkma1",12
"Just2spiffy","WDWNT",16
"peterfelth","YouTube",17
"Covidcovidhoax","davidicke",20
"alexandriaden","YouTube",22
"snookie1515","YouTube",25
"xenkallas","AkiraChanArts",26
"cuban_manny","YouTube",30
"elsufrbe","YouTube",32
"Neen_Katzmann","realDonaldTrump",34
"Neen_Katzmann","YouTube",34
"heathersmedica1","YouTube",35
"NoodleSparklez","YouTube",37
"Twinner53034734","YouTube",39
"Ga1tJohn","DocEvenhouse",42
"BrianViera27","houstonassassin",44
"ladydi3501","LisaMei62",48
"traceet1113","washingtonpost",55
"pam_rotchadl","realDonaldTrump",56
"pam_rotchadl","realDonaldTrump",56
"RhondaHurley2","YouTube",57
"SheenMalcolm","OffGuardian0",59
"SheenMalcolm","VanessaBeeley",59
"SheenMalcolm","EvaKBartlett",59
"SheenMalcolm","elleprovocateur",59
"SheenMalcolm","Charlotte3003G",59
"SheenMalcolm","Banjomarla",59
"SheenMalcolm","21WIRE",59
"Eleanor96001096","davidicke",62
"REALBP5","PressSec",64
"REALBP5","SarahB1822",64
"REALBP5","realDonaldTrump",64
"REALBP5","prayingmedic",65
"REALBP5","JeannieGiering",65
"REALBP5","marklevinshow",66
"REALBP5","BlazeTV",66
"REALBP5","martingeddes",67
"REALBP5","gumu555",67
"REALBP5","gatewaypundit",68
"REALBP5","writermelle",68
"REALBP5","joehoft",68
"CoCnservative","YouTube",70
"CLittleDev","walsh_cmg0101",74
"CLittleDev","KTHopkins",74
"CLittleDev","10DowningStreet",75
"CLittleDev","DHSCgovuk",76
"CLittleDev","Mwengway72",77
"CLittleDev","kondor_anna",77
"CLittleDev","GerardBattenUK",77
"christi11964848","austere1717",80
"fionamaeve","sparkledocawake",84
"flatearthaddict","realDonaldTrump",87
"flatearthaddict","X22Report",87
"flatearthaddict","GeorgWebb",87
"flatearthaddict","sgtreport",87
"flatearthaddict","PoliticalOrgy",87
"flatearthaddict","RedPill78",87
"flatearthaddict","YouTube",89
"ZZD_SleepingDog","YouTube",92
"ZZD_SleepingDog","YouTube",93
"dknight716","Ilhan",96
"dknight716","gatewaypundit",96
"HarrellRyan1","YouTube",97
"HarrellRyan1","Potus",98
"HarrellRyan1","realDonaldTrump",98
"HarrellRyan1","VP",98
"HarrellRyan1","Scavino45",98
"HarrellRyan1","MarkMeadows",98
"HarrellRyan1","SecPompeo",98
"HarrellRyan1","dbongino",98
"HarrellRyan1","tucker",98
"CherokeeOwl","YouTube",100
"MBOKSR_MAGA","YouTube",101
"ImMappin","Nigel_Farage",104
"ImMappin","JohnMappin",104
"Charlotte3003G","OffGuardian0",106
"Charlotte3003G","VanessaBeeley",106
"Charlotte3003G","EvaKBartlett",106
"Charlotte3003G","elleprovocateur",106
"Charlotte3003G","Charlotte3003G",106
"Charlotte3003G","Banjomarla",106
"Charlotte3003G","21WIRE",106
"Charlotte3003G","Charlotte3003G",107
"Charlotte3003G","DominicRaab",107
"croc_el","n0rbie",108
"croc_el","onthewight",108
"croc_el","howards63976817",109
"croc_el","onthewight",109
"shadey68","Ian_Fegan",111
"shadey68","gemmaod1",111
"KeithMillerMor1","EurasiaGroup",112
"KeithMillerMor1","ianbremmer",112
"KeithMillerMor1","RBReich",112
"KeithMillerMor1","camanpour",112
"DGPurser","YouTube",113
"SeanCordicon","LisaMei62",114
"davidlane1955","YouTube",118
"Enoch01","YouTube",120
"JonGar00990153","KingLionheart",121
"JonGar00990153","DavidDavisMP",121
"JonGar00990153","AngelaPower7",121
"PatriotProud45","YouTube",122
"warmblood","toadmeister",126
"Agata01337882","realDonaldTrump",127
"Agata01337882","Nigel_Farage",128
"Agata01337882","JohnMappin",128
"Agata01337882","MarlboroughOf",128
"Agata01337882","geordiegreig",128
"Agata01337882","Nigel_Farage",130
"Agata01337882","JohnMappin",130
"JBeutjer","realDonaldTrump",131
"publicbankinga","scientificecon",132
"JMESHELL7","YouTube",136
"Melanie76318741","YouTube",139
"KiwiGal6","JessicaFoxNZ",140
"KiwiGal6","patrickgowernz",140
"KiwiGal6","minhealthnz",140
"CalculoMc","finegael",143
"DESMONDKING3","Harryslaststand",146
"Ombudsman___","vonderleyen",151
"Ombudsman___","vonderleyen",151
"Ombudsman___","DarkToLiqht",152
"Ombudsman___","melindagates",152
"Ombudsman___","BillGates",152
"JacobDart5","realDonaldTrump",154
"paddua","jsolomonReports",155
"DanHarmon36","YouTube",156
"gingy_t","DrJudyAMikovits",157
"mcroff1958","LisaMei62",158
"Theresa70851511","YouTube",159
"YipekEspitia","2_catholic",167
"sherriereece","IngrahamAngle",169
"sherriereece","CapeCodAngel3",169
"kdiri808","YouTube",170
"ExitingSerfdom","realDonaldTrump",171
"ExitingSerfdom","DonaldJTrumpJr",171
"roupolimama","gatewaypundit",173
"roupolimama","cristinalaila1",173
"SpotShopMedia","jkenney",174
"SpotShopMedia","YouTube",175
"guy_connor","latimes",176
"StaceyNormingt1","YouTube",178
"StaceyNormingt1","YouTube",179
"Valeria45890283","YouTube",180
"svagdis","jeffsekerak",181
"ColinSkow","realDonaldTrump",188
"ElisaMichaels","JHTreyIII",189
"ElisaMichaels","Educati0n4Libs",189
"HaydenH70944241","wfaa",190
"ChrisMetzler","YouTube",191
"phunchicky","thehill",192
"freelife1120","YouTube",195
"HFREEMA83843708","John05689094",197
"HFREEMA83843708","legslambert",197
"HFREEMA83843708","mitchellvii",197
"HFREEMA83843708","CaribouSass",199
"HFREEMA83843708","vicksiern",200
"HFREEMA83843708","mitchellvii",201
"SteveBluhm","GovAbbott?",209
"SteveBluhm","stholeary",210
"SteveBluhm","CBS11Andrea",210
"SteveBluhm","CBSDFW",210
"ZoneBPatriot","dgarritysantafe",212
"ZoneBPatriot","United4NM",212
"ZoneBPatriot","kalebmahan12",212
"ZoneBPatriot","JordofLBK",212
"ZoneBPatriot","TeresaH58490914",213
"ZoneBPatriot","GovMLG?",215
"ZoneBPatriot","pol_inc_puppy",216
"ZoneBPatriot","ShaunaAbney",216
"ZoneBPatriot","NGirrard",216
"ZoneBPatriot","GovMLG",216
"ZoneBPatriot","NMDOH",216
"ZoneBPatriot","GovMLG?",216
"pufffdadd","YouTube",217
"BigDonTee","realDonaldTrump",218
"Kathy76147641","finguys",224
"Kathy76147641","HarmlessYardDog",224
"Kathy76147641","RadicalCath",224
"MaryMargaretTK","YouTube",226
"David92675199","YouTube",227
"Julietknows1","YouTube",230
"loretta_stiles","DrJudyAMikovits",231
"loretta_stiles","DemocratFed",231
"loretta_stiles","realDonaldTrump",231
"loretta_stiles","TinaAguayotv",231
"AlanJac10051970","Acosta",234
"RitaMiller2001","YouTube",235
"burtmarks","KathrynTappen",236
"burtmarks","WhitneyforMT",237
"burtmarks","TiffaniThiessen",238
"burtmarks","Metallica",239
"burtmarks","AWMHFoundation",239
"burtmarks","MelissaJoanHart",240
"burtmarks","WillieDLIVE",241
"burtmarks","MorganSpurlock",242
"burtmarks","rte",242
"burtmarks","SmombieGate",243
"burtmarks","alisonhaislip",247
"tlynkelly","elenochle",255
"teresaevans25","EssexPR",256
"royomanMN","Rparkerscience",257
"SheilaMH77","LisaMei62",261
"DannaB1","X22Report",263
"MomSeeker","ROHLL5⁩",266
"HOBrien_Author","RealEricCarmen",268
"Americansonofl1","realDonaldTrump",270
"PlassSandy","YouTube",271
"PlassSandy","EatonRose1",272
"PlassSandy","realDonaldTrump",272
"RealAmericanCi2","KarluskaP",273
"BillyMikeKY","AshleyDavis32",276
"BillyMikeKY","FreeBeacon",277
"BillyMikeKY","HillaryClinton",277
"BillyMikeKY","AndrewStilesUSA",277
"BillyMikeKY","RealMattCouch",278
"BillyMikeKY","realDailyWire",279
"NilahPatel","NilahPatel",280
"NilahPatel","Krisleblanc_",280
"NilahPatel","haselcheck",280
"NilahPatel","Jhutch43945987",280
"NilahPatel","WakeUpCanada1",280
"DitullioMary","Alpha_57",281
"areveline","cravecreative",282
"areveline","CC_CRF",282
"areveline","ActforCanada",282
"areveline","99freemind",282
"areveline","MaximeBernier",282
"areveline","MarkFriesen08",282
"areveline","MarkParalovos",282
"areveline","patton6966",282
"areveline","BillyJoyce1976",282
"areveline","BillTufts",282
"areveline","peoplespca",282
"areveline","FaithGoldy",282
"areveline","Derek_FacT",282
"areveline","bimvision",282
"Real_DARGI","CAgovernor",283
"Real_DARGI","GavinNewsom",283
"Real_DARGI","Ann_OLeary",283
"Real_DARGI","TomSteyer",283
"Real_DARGI","JulieSuCA",283
"Real_DARGI","CDPHDirector",283
"Real_DARGI","CAPublicHealth",283
"Real_DARGI","CAGoBiz",283
"Real_DARGI","GavinNewsom",283
"Real_DARGI","MayorOfLA",283
"Real_DARGI","CAgovernor",284
"Real_DARGI","GavinNewsom",284
