"album_name","track_name","tempo","key","liveness","speechiness"
"Lover","I Forgot That You Existed",92.875,5,0.0812,0.519
"Lover","Cruel Summer",169.994,9,0.105,0.157
"Lover","Lover",68.534,7,0.118,0.0919
"Lover","The Man",110.048,0,0.0901,0.054
"Lover","The Archer",124.344,0,0.0663,0.0401
"Lover","I Think He Knows",100.003,0,0.0715,0.0569
"Lover","Miss Americana & The Heartbreak Prince",150.088,11,0.138,0.0736
"Lover","Paper Rings",103.979,9,0.0742,0.0497
"Lover","Cornelia Street",102.012,0,0.1,0.0827
"Lover","Death By A Thousand Cuts",94.071,4,0.319,0.0629
"Lover","London Boy",157.925,1,0.133,0.05
"Lover","Soon You’ll Get Better (feat. Dixie Chicks)",207.476,0,0.123,0.0641
"Lover","False God",79.97,11,0.111,0.239
"Lover","You Need To Calm Down",85.026,2,0.0637,0.0553
"Lover","Afterglow",111.011,9,0.114,0.0344
"Lover","ME! (feat. Brendon Urie of Panic! At The Disco)",182.162,0,0.118,0.0571
"Lover","It’s Nice To Have A Friend",70.008,10,0.171,0.0401
"Lover","Daylight",149.983,0,0.0772,0.0563
"reputation","...Ready For It?",160.015,2,0.197,0.136
"reputation","End Game",159.073,2,0.108,0.0558
"reputation","I Did Something Bad",82.989,0,0.0696,0.159
"reputation","Don’t Blame Me",135.917,9,0.0607,0.0386
"reputation","Delicate",95.045,9,0.0911,0.0682
"reputation","Look What You Made Me Do",128.07,9,0.126,0.123
"reputation","So It Goes...",74.957,2,0.13,0.0732
"reputation","Gorgeous",92.027,7,0.213,0.135
"reputation","Getaway Car",172.054,2,0.0888,0.127
"reputation","King Of My Heart",110.01,0,0.0391,0.0382
"reputation","Dancing With Our Hands Tied",160.024,0,0.138,0.196
"reputation","Dress",120.085,0,0.169,0.0533
"reputation","This Is Why We Can't Have Nice Things",163.96,5,0.382,0.115
"reputation","Call It What You Want",163.954,9,0.34,0.0731
"reputation","New Year’s Day",94.922,0,0.13,0.0354
"reputation Stadium Tour Surprise Song Playlist","All Too Well",93.061,0,0.128,0.0244
"reputation Stadium Tour Surprise Song Playlist","Wildest Dreams",139.997,8,0.106,0.0897
"reputation Stadium Tour Surprise Song Playlist","The Best Day",126.068,1,0.158,0.0285
"reputation Stadium Tour Surprise Song Playlist","Red",124.985,1,0.0911,0.0423
"reputation Stadium Tour Surprise Song Playlist","Holy Ground",157.043,4,0.0965,0.0774
"reputation Stadium Tour Surprise Song Playlist","Teardrops On My Guitar - Radio Single Remix",99.959,10,0.138,0.0234
"reputation Stadium Tour Surprise Song Playlist","Our Song",178.013,2,0.321,0.0363
"reputation Stadium Tour Surprise Song Playlist","22",104.009,7,0.0473,0.0379
"reputation Stadium Tour Surprise Song Playlist","I Knew You Were Trouble.",77.318,6,0.0357,0.0412
"reputation Stadium Tour Surprise Song Playlist","I Don’t Wanna Live Forever (Fifty Shades Darker)",117.97,0,0.14,0.0533
"reputation Stadium Tour Surprise Song Playlist","Mean",163.886,4,0.223,0.0428
"reputation Stadium Tour Surprise Song Playlist","How You Get The Girl",119.997,5,0.0918,0.0504
"reputation Stadium Tour Surprise Song Playlist","So It Goes...",74.957,2,0.13,0.0732
"reputation Stadium Tour Surprise Song Playlist","Fifteen",95.122,7,0.138,0.0269
"reputation Stadium Tour Surprise Song Playlist","Mine",121.034,7,0.187,0.0301
"reputation Stadium Tour Surprise Song Playlist","Sparks Fly",114.977,5,0.16,0.0309
"reputation Stadium Tour Surprise Song Playlist","State Of Grace",129.962,4,0.0879,0.0333
"reputation Stadium Tour Surprise Song Playlist","Haunted",162.012,5,0.0612,0.0605
"reputation Stadium Tour Surprise Song Playlist","Never Grow Up",124.894,2,0.136,0.0302
"reputation Stadium Tour Surprise Song Playlist","Treacherous",109.995,2,0.14,0.0334
"reputation Stadium Tour Surprise Song Playlist","Babe",171.791,1,0.125,0.101
"reputation Stadium Tour Surprise Song Playlist","Welcome To New York",116.992,7,0.302,0.0323
"reputation Stadium Tour Surprise Song Playlist","Fearless",100.163,5,0.307,0.0272
"reputation Stadium Tour Surprise Song Playlist","Enchanted",81.963,8,0.158,0.0274
"reputation Stadium Tour Surprise Song Playlist","Change",96.006,5,0.111,0.0376
"reputation Stadium Tour Surprise Song Playlist","Ours",159.837,0,0.087,0.0279
"reputation Stadium Tour Surprise Song Playlist","Out Of The Woods",92.008,7,0.341,0.0396
"reputation Stadium Tour Surprise Song Playlist","Come Back...Be Here",79.926,4,0.0997,0.0254
"reputation Stadium Tour Surprise Song Playlist","A Place in this World",114.984,9,0.327,0.0323
"reputation Stadium Tour Surprise Song Playlist","This Love",143.95,4,0.0928,0.0321
"reputation Stadium Tour Surprise Song Playlist","The Lucky One",117.935,4,0.13,0.0358
"reputation Stadium Tour Surprise Song Playlist","Invisible",96.005,7,0.165,0.0243
"reputation Stadium Tour Surprise Song Playlist","Breathe",73.849,1,0.129,0.0281
"reputation Stadium Tour Surprise Song Playlist","Better Man",143.944,5,0.0974,0.0378
"reputation Stadium Tour Surprise Song Playlist","Jump Then Fall",80.007,2,0.074,0.0274
"reputation Stadium Tour Surprise Song Playlist","Begin Again",79.025,7,0.14,0.0263
"reputation Stadium Tour Surprise Song Playlist","Tied Together with a Smile",146.147,2,0.0728,0.0275
"reputation Stadium Tour Surprise Song Playlist","The Story Of Us",139.908,4,0.0587,0.0398
"reputation Stadium Tour Surprise Song Playlist","Forever & Always",128.057,10,0.207,0.0588
"reputation Stadium Tour Surprise Song Playlist","Hey Stephen",116.001,6,0.108,0.0318
"reputation Stadium Tour Surprise Song Playlist","Speak Now",118.986,7,0.102,0.0304
"reputation Stadium Tour Surprise Song Playlist","Wonderland",184.014,3,0.177,0.0549
"reputation Stadium Tour Surprise Song Playlist","White Horse",92.673,0,0.1,0.0257
"reputation Stadium Tour Surprise Song Playlist","I'm Only Me When I'm With You",143.936,8,0.101,0.072
"reputation Stadium Tour Surprise Song Playlist","Starlight",126.014,9,0.234,0.0391
"reputation Stadium Tour Surprise Song Playlist","I Know Places",159.965,0,0.178,0.071
"reputation (Big Machine Radio Release Special)","…Ready For It? - Commentary",67.303,10,0.251,0.941
"reputation (Big Machine Radio Release Special)","...Ready For It?",160.015,2,0.197,0.136
"reputation (Big Machine Radio Release Special)","End Game - Commentary",172.909,4,0.132,0.942
"reputation (Big Machine Radio Release Special)","End Game",159.073,2,0.108,0.0558
"reputation (Big Machine Radio Release Special)","I Did Something Bad - Commentary",98.753,1,0.19,0.892
"reputation (Big Machine Radio Release Special)","I Did Something Bad",82.989,0,0.0696,0.159
"reputation (Big Machine Radio Release Special)","Don't Blame Me - Commentary",86.424,8,0.208,0.943
"reputation (Big Machine Radio Release Special)","Don’t Blame Me",135.917,9,0.0607,0.0386
"reputation (Big Machine Radio Release Special)","Delicate - Commentary",85.319,11,0.201,0.943
"reputation (Big Machine Radio Release Special)","Delicate",95.045,9,0.0911,0.0682
"reputation (Big Machine Radio Release Special)","Look What You Made Me Do - Commentary",77.411,4,0.248,0.957
"reputation (Big Machine Radio Release Special)","Look What You Made Me Do",128.07,9,0.126,0.123
