"reference","sum(value)","sd(score).x","mean(score).x","type.x","sum(score)","sd(score).y","mean(score).y","type.y"
1,5,2.21735578260835,1.25,"Afinn",25,1.3821202589704,1.92307692307692,"Pressy"
2,10,0.516397779494322,1.66666666666667,"Afinn",50,1.11404969340133,2.17391304347826,"Pressy"
3,-4,2.08166599946613,-1.33333333333333,"Afinn",11,2.65125756324554,0.6875,"Pressy"
7,-1,NA,-1,"Afinn",14,1.42984070596848,1.4,"Pressy"
8,8,1.67332005306815,1.6,"Afinn",74,1.37442604081796,1.94736842105263,"Pressy"
9,14,0.816496580927726,2.33333333333333,"Afinn",25,1.34839972492648,2.27272727272727,"Pressy"
10,6,0.577350269189626,1.5,"Afinn",NA,NA,NA,"Pressy"
11,0,2,0,"Afinn",62,1.55215830452272,2.06666666666667,"Pressy"
12,5,2.82842712474619,1,"Afinn",22,2.34192557196325,0.55,"Pressy"
13,6,0,2,"Afinn",29,1.32805732697661,2.07142857142857,"Pressy"
15,-1,NA,-1,"Afinn",0,1.4142135623731,0,"Pressy"
16,5,1.22474487139159,1,"Afinn",17,1.65994314824673,0.772727272727273,"Pressy"
17,5,1.99553072067128,0.625,"Afinn",36,1.53616026500765,1.28571428571429,"Pressy"
18,3,0.707106781186548,1.5,"Afinn",17,1.22474487139159,1,"Pressy"
19,7,1.72240142436851,1.16666666666667,"Afinn",61,2.00189304349053,1.84848484848485,"Pressy"
20,11,1.61245154965971,1,"Afinn",65,1.43876624549603,1.41304347826087,"Pressy"
21,2,NA,2,"Afinn",9,1.77866139656663,0.818181818181818,"Pressy"
22,11,1.57300952773941,0.846153846153846,"Afinn",34,1.68948345785165,0.918918918918919,"Pressy"
23,3,1.81265393434993,0.428571428571429,"Afinn",33,1.50489397711365,1.83333333333333,"Pressy"
24,5,1.22474487139159,1,"Afinn",41,2.20274847414228,1.17142857142857,"Pressy"
25,3,2.40831891575846,0.6,"Afinn",27,1.53125335660212,1.35,"Pressy"
26,1,1.6431676725155,0.2,"Afinn",45,1.85230518078383,1.5,"Pressy"
27,2,1.86189867250253,0.333333333333333,"Afinn",NA,NA,NA,"Pressy"
28,0,2.94392028877595,0,"Afinn",63,1.80838886035893,1.7027027027027,"Pressy"
29,1,2.04124145231931,0.166666666666667,"Afinn",38,1.61290088826385,1.58333333333333,"Pressy"
30,-6,2.0976176963403,-1,"Afinn",10,1.90862703084106,1.25,"Pressy"
31,-1,3.53553390593274,-0.5,"Afinn",NA,NA,NA,"Pressy"
32,9,1.37840487520902,1.5,"Afinn",39,1.40843730857071,1.625,"Pressy"
33,11,1.28668393770792,1.1,"Afinn",27,1.11286186854503,1.03846153846154,"Pressy"
34,4,1.60356745147455,0.5,"Afinn",21,1.58113883008419,1.16666666666667,"Pressy"
35,-5,1.6348477827392,-0.454545454545455,"Afinn",54,1.5015143870591,1.2,"Pressy"
36,0,2.07019667802706,0,"Afinn",31,1.46808145478878,1.55,"Pressy"
37,1,NA,1,"Afinn",3,2,1,"Pressy"
38,5,1.87082869338697,1,"Afinn",4,2.86912600942709,0.166666666666667,"Pressy"
39,-10,1.64224532179869,-0.833333333333333,"Afinn",20,1.87082869338697,0.8,"Pressy"
40,3,2.12132034355964,0.333333333333333,"Afinn",17,3.02441705383361,0.435897435897436,"Pressy"
41,0,2.82842712474619,0,"Afinn",8,1.95401684183679,0.727272727272727,"Pressy"
42,-1,2.88675134594813,-0.333333333333333,"Afinn",31,2.15646987431788,1.29166666666667,"Pressy"
43,-2,2.16024689946929,-0.333333333333333,"Afinn",25,2.17653826995523,1.04166666666667,"Pressy"
44,-5,1.58113883008419,-0.5,"Afinn",16,2.6234663629587,0.484848484848485,"Pressy"
45,-3,2.43975018237133,-0.428571428571429,"Afinn",23,2.00652780846761,0.884615384615385,"Pressy"
46,2,1.50554530541816,0.333333333333333,"Afinn",32,1.72046505340853,1.28,"Pressy"
47,1,NA,1,"Afinn",3,1.6583123951777,0.333333333333333,"Pressy"
48,10,1.36626010212795,1.66666666666667,"Afinn",43,1.89506460081704,1.53571428571429,"Pressy"
49,-4,1.4142135623731,-1,"Afinn",36,0.945135245565981,1.56521739130435,"Pressy"
50,2,2.51661147842358,0.666666666666667,"Afinn",42,1.74409630501938,1.44827586206897,"Pressy"
51,10,1.90029237516523,1.11111111111111,"Afinn",26,1.20415945787923,1.625,"Pressy"
52,-4,1.4142135623731,-1,"Afinn",29,1.62715059156153,1.38095238095238,"Pressy"
53,8,2.34012616672488,1.14285714285714,"Afinn",NA,NA,NA,"Pressy"
54,3,2.0658792662828,0.375,"Afinn",36,1.29721186422637,1.2,"Pressy"
55,5,0.577350269189626,1.66666666666667,"Afinn",37,1.88558838254458,1.15625,"Pressy"
56,11,0.836660026534076,2.2,"Afinn",36,1.28645666861885,1.89473684210526,"Pressy"
57,12,1.88982236504614,1.71428571428571,"Afinn",32,1.39136531360295,2.46153846153846,"Pressy"
58,17,0.534522483824849,2.42857142857143,"Afinn",33,1.56752762563945,1.57142857142857,"Pressy"
59,7,2.56255081250434,1.16666666666667,"Afinn",42,1.47808290161256,1.44827586206897,"Pressy"
60,12,1.38013111868471,1.71428571428571,"Afinn",48,1.46698561125382,2.52631578947368,"Pressy"
61,3,1.73205080756888,1,"Afinn",39,1.36813554584145,1.44444444444444,"Pressy"
62,5,1.94079021706795,0.833333333333333,"Afinn",49,1.71053381314896,1.81481481481481,"Pressy"
63,5,1.5,1.25,"Afinn",66,1.34629120178363,2,"Pressy"
64,5,0.5,1.25,"Afinn",NA,NA,NA,"Pressy"
65,1,NA,1,"Afinn",4,0.577350269189626,1.33333333333333,"Pressy"
66,6,0.577350269189626,1.5,"Afinn",24,1.22474487139159,2.66666666666667,"Pressy"
