"SOURCE","TARGET","tweet_number"
"LexDeeley","Tokyogreen",2
"LexDeeley","Macman_23",2
"LexDeeley","OGBLACKPLAGUE",2
"LexDeeley","officialmcafee",2
"LexDeeley","JohnGinsberg",5
"LexDeeley","10DowningStreet",5
"LexDeeley","MattHancock",5
"LexDeeley","OefileP",6
"LexDeeley","Santos_Enugbe",6
"LexDeeley","Paa_Lash",6
"LexDeeley","buddyankie",6
"lcasashildeshe1","X22Report",11
"AlfMegoa","Jacob_Rees_Mogg",16
"AlfMegoa","EyesOnQ",17
"AlfMegoa","gatewaypundit",17
"AlfMegoa","Jacob_Rees_Mogg",18
"CloneDwarf","YouTube",19
"they_had_names","Dave06178494",23
"they_had_names","HuffPost",23
"ADeplorable12","TheJusticeDept",24
"ADeplorable12","POTUS",24
"ADeplorable12","realDonaldTrump",24
"SchemppShawn","burgessvillian",28
"SchemppShawn","spikestabber",28
"SchemppShawn","aaronkma1",28
"KriefLinda","YouTube",34
"Just2spiffy","WDWNT",35
"peterfelth","YouTube",36
"TimothySMcCoy","DilleyShow",38
"TimothySMcCoy","BuzzPatterson",39
"TimothySMcCoy","TimothySMcCoy",39
"Covidcovidhoax","davidicke",42
"TheBigDigmystic","JoeNBC",44
"tammywalt61","benshapiro",45
"Cynthia62597760","DarlaShine",48
"Cynthia62597760","codeofvets",48
"Cynthia62597760","realDonaldTrump",48
"bigchill_LC","paulrey99",49
"bigchill_LC","ZubyMusic",49
"alexandriaden","YouTube",51
"snookie1515","YouTube",56
"PatriotJohnWick","YouTube",59
"xenkallas","AkiraChanArts",61
"cuban_manny","YouTube",65
"DoubtingNo","YouTube",68
"DoubtingNo","YouTube",69
"DoubtingNo","POTUS",70
"DoubtingNo","YouTube",70
"elsufrbe","YouTube",74
"Neen_Katzmann","realDonaldTrump",78
"Neen_Katzmann","YouTube",78
"heathersmedica1","YouTube",79
"NoodleSparklez","YouTube",85
"Twinner53034734","YouTube",89
"Martin_Cov70","KTHopkins",90
"Ga1tJohn","DocEvenhouse",93
"DavidARader","YouTube",94
"Tammystuneup","YouTube",95
"Leonine35","ticticktock",96
"Leonine35","lady_kel2",96
"Leonine35","BorisJohnson",96
"SoniaAr60150998","YouTube",98
"BrianViera27","djvlad",100
"BrianViera27","houstonassassin",101
"Diurpagissa","YouTube",109
"ladydi3501","LisaMei62",110
"DemocratFed","DrJudyAMikovits",113
"SmallThings13","YouTube",116
"traceet1113","washingtonpost",124
"pam_rotchadl","realDonaldTrump",126
"pam_rotchadl","realDonaldTrump",126
"pam_rotchadl","realDonaldTrump",127
"pam_rotchadl","realDonaldTrump",127
"RhondaHurley2","YouTube",129
"guag53","YouTube",131
"TheQFactor101","fordnation",133
"TheQFactor101","fordnation.",133
"SheenMalcolm","OffGuardian0",135
"SheenMalcolm","VanessaBeeley",135
"SheenMalcolm","EvaKBartlett",135
"SheenMalcolm","elleprovocateur",135
"SheenMalcolm","Charlotte3003G",135
"SheenMalcolm","Banjomarla",135
"SheenMalcolm","21WIRE",135
"trump2720","realDonaldTrump",140
"RoyPentland","Barbarajdurkin",141
"RoyPentland","cheryl1492",142
"RoyPentland","ergodrake",142
"RoyPentland","JaggerMickOZ",142
"RoyPentland","LoganJameson4",142
"RoyPentland","WayneAllanH",142
"RoyPentland","seaplaneguy",142
"RoyPentland","Tangomitteckel",142
"RoyPentland","bee88887",142
"RoyPentland","GraceIrene21",142
"RoyPentland","NoelTurner194",142
"RoyPentland","csfc67",142
"RoyPentland","FriendsOScience",142
"RoyPentland","MichRogCook",142
"RoyPentland","Barbarajdurkin",142
"RoyPentland","Michael46830937",142
"RoyPentland","NMorris472",142
"RoyPentland","bbryson1961",142
"RoyPentland","DCTFTW",142
"RoyPentland","automaticsteam",142
"RoyPentland","alan_poirier",142
"RoyPentland","GillesnFio",142
"RoyPentland","Ike_Kiefer",142
"RoyPentland","TQMKA",142
"RoyPentland","JWSpry",142
"RoyPentland","TonyPrice241",142
"RoyPentland","KinkerMichards",142
"RoyPentland","ThomasM15940165",142
"RoyPentland","Lynn16174075",142
"RoyPentland","Erst_Officer",142
"RoyPentland","RogTallbloke",142
"RoyPentland","Karajavuori",142
"RoyPentland","fern_60",142
"RoyPentland","Amilure1",142
"RoyPentland","n0rssec",142
"RoyPentland","Carbongate",142
"RoyPentland","ramspacek",142
"RoyPentland","bluesjack42",142
"RoyPentland","Hojpojj",142
"RoyPentland","clivehbest",142
"RoyPentland","no2wind",142
"RoyPentland","SeanFlanderhijn",142
"RoyPentland","Real_BWEA",142
"RoyPentland","Ancientengineer",142
"RoyPentland","ya_pheq",142
"RoyPentland","yota_berlin",142
"RoyPentland","Lyonseed",142
"RoyPentland","luisbaram",142
"RoyPentland","RobChristie11",142
"RoyPentland","drwaheeduddin",142
"RoyPentland","FernandoLeanme",142
"RoyPentland","ergodrake",143
"RoyPentland","JaggerMickOZ",143
"RoyPentland","LoganJameson4",143
"RoyPentland","WayneAllanH",143
"RoyPentland","seaplaneguy",143
"RoyPentland","Tangomitteckel",143
"RoyPentland","bee88887",143
"RoyPentland","GraceIrene21",143
"RoyPentland","RoyPentland",143
"RoyPentland","NoelTurner194",143
"RoyPentland","csfc67",143
"RoyPentland","FriendsOScience",143
"RoyPentland","MichRogCook",143
"RoyPentland","Barbarajdurkin",143
"RoyPentland","Michael46830937",143
"RoyPentland","NMorris472",143
"RoyPentland","bbryson1961",143
"RoyPentland","DCTFTW",143
"RoyPentland","automaticsteam",143
"RoyPentland","alan_poirier",143
"RoyPentland","GillesnFio",143
"RoyPentland","Ike_Kiefer",143
"RoyPentland","TQMKA",143
"RoyPentland","JWSpry",143
"RoyPentland","TonyPrice241",143
"RoyPentland","KinkerMichards",143
"RoyPentland","ThomasM15940165",143
"RoyPentland","Lynn16174075",143
"RoyPentland","Erst_Officer",143
"RoyPentland","RogTallbloke",143
"RoyPentland","Karajavuori",143
"RoyPentland","fern_60",143
"RoyPentland","Amilure1",143
"RoyPentland","n0rssec",143
"RoyPentland","Carbongate",143
"RoyPentland","ramspacek",143
"RoyPentland","bluesjack42",143
"RoyPentland","Hojpojj",143
"RoyPentland","clivehbest",143
"RoyPentland","no2wind",143
"RoyPentland","SeanFlanderhijn",143
"RoyPentland","Real_BWEA",143
"RoyPentland","Ancientengineer",143
"RoyPentland","ya_pheq",143
"RoyPentland","yota_berlin",143
"RoyPentland","Lyonseed",143
"RoyPentland","luisbaram",143
"RoyPentland","RobChristie11",143
"RoyPentland","drwaheeduddin",143
"RoyPentland","FernandoLeanme",143
"Eleanor96001096","davidicke",145
"REALBP5","PressSec",150
"REALBP5","SarahB1822",150
"REALBP5","realDonaldTrump",150
"REALBP5","prayingmedic",151
"REALBP5","JeannieGiering",151
"REALBP5","marklevinshow",152
"REALBP5","BlazeTV",152
"REALBP5","martingeddes",153
"REALBP5","gumu555",153
"REALBP5","gatewaypundit",154
"REALBP5","writermelle",154
"REALBP5","joehoft",154
"CoCnservative","YouTube",156
"sil_ver_sur_fer","sil_ver_sur_fer",161
"sil_ver_sur_fer","visuele",161
"sil_ver_sur_fer","oakentersagain",161
"sil_ver_sur_fer","Tom_degl",161
"sil_ver_sur_fer","HetIsMij_OPA",161
"sil_ver_sur_fer","InesvanBokhoven",161
"sil_ver_sur_fer","hugodejonge",161
"sil_ver_sur_fer","MinPres",161
"sil_ver_sur_fer","5mei2020",161
"_jammer_","BBCNewsNI",163
"CLittleDev","walsh_cmg0101",164
"CLittleDev","KTHopkins",164
"CLittleDev","10DowningStreet",165
"CLittleDev","DHSCgovuk",166
"CLittleDev","Mwengway72",167
"CLittleDev","kondor_anna",167
"CLittleDev","GerardBattenUK",167
"christi11964848","austere1717",171
"ticticktock","ticticktock",172
"ticticktock","lady_kel2",172
"ticticktock","BorisJohnson",172
"DianeDenizen","gemmaod1",174
"kuusevana","PlanDemic",178
"kuusevana","va_shiva",178
"kuusevana","DrButtar",178
"kuusevana","DrJudyAMikovits",178
"kuusevana","pnjaban",178
"kuusevana","LarryEKlayman",178
"kuusevana","Barnes_Law",178
"kuusevana","VicToensing",178
"kuusevana","SidneyPowell1",178
"kuusevana","realDonaldTrump",178
"kuusevana","WhiteHouse",178
"kuusevana","realDonaldTrump",179
"fionamaeve","sparkledocawake",181
"USAJPB69","YouTube",182
"proliberty2","POTUS",183
"proliberty2","DisLeague",183
"flatearthaddict","realDonaldTrump",186
"flatearthaddict","X22Report",186
"flatearthaddict","GeorgWebb",186
"flatearthaddict","sgtreport",186
"flatearthaddict","PoliticalOrgy",186
"flatearthaddict","RedPill78",186
"flatearthaddict","YouTube",188
"ZZD_SleepingDog","YouTube",191
"ZZD_SleepingDog","YouTube",192
"charmie13","YouTube",194
"Yanasteel","BernieSanders",195
"LiveFreeQrDie","TheMaineTweeter",197
"LiveFreeQrDie","LibSaves",198
"LiveFreeQrDie","real_defender",198
"dknight716","Ilhan",200
"dknight716","gatewaypundit",200
"HarrellRyan1","YouTube",201
"HarrellRyan1","Potus",202
"HarrellRyan1","realDonaldTrump",202
"HarrellRyan1","VP",202
"HarrellRyan1","Scavino45",202
"HarrellRyan1","MarkMeadows",202
"HarrellRyan1","SecPompeo",202
"HarrellRyan1","dbongino",202
"HarrellRyan1","tucker",202
"CherokeeOwl","YouTube",204
"beginthebeguin1","2010LeeHurst",205
"beginthebeguin1","ProfKarolSikora",206
"beginthebeguin1","BorisJohnson",207
"beginthebeguin1","KTHopkins",208
"GrassoMonique","hugodejonge",209
"SHANSOFAR","AkiraChanArts",211
"MBOKSR_MAGA","YouTube",212
"ImMappin","Nigel_Farage",217
"ImMappin","JohnMappin",217
"drrachelwest","realmajordan",223
"drrachelwest","1GigiSims",223
"drrachelwest","realDonaldTrump",223
"drrachelwest","SenTomCotton",223
"Charlotte3003G","OffGuardian0",227
"Charlotte3003G","VanessaBeeley",227
"Charlotte3003G","EvaKBartlett",227
"Charlotte3003G","elleprovocateur",227
"Charlotte3003G","Charlotte3003G",227
"Charlotte3003G","Banjomarla",227
"Charlotte3003G","21WIRE",227
"Charlotte3003G","Charlotte3003G",228
"Charlotte3003G","DominicRaab",228
"croc_el","n0rbie",230
"croc_el","onthewight",230
"croc_el","howards63976817",231
"croc_el","onthewight",231
"shadey68","Ian_Fegan",236
"shadey68","gemmaod1",236
"Ellie52003833","YouTube",238
"KeithMillerMor1","EurasiaGroup",239
"KeithMillerMor1","ianbremmer",239
"KeithMillerMor1","RBReich",239
"KeithMillerMor1","camanpour",239
"17thOps","MissiWhite4",241
"17thOps","17thOps",241
"DGPurser","YouTube",242
"SeanCordicon","LisaMei62",243
"ikdoyou","YouTube",246
"KidKool4U","steve_c1970",247
"davidlane1955","YouTube",254
"Patri0t_An0n","YouTube",258
"1984Andrew1984","YouTube",260
"thedogcam","prayingmedic",262
"thedogcam","washingtonpost",263
"CoronaHoax","Project_Veritas",264
"Enoch01","YouTube",268
"JonGar00990153","KingLionheart",270
"JonGar00990153","DavidDavisMP",270
"JonGar00990153","AngelaPower7",270
"JonGar00990153","allisonpearson",271
"ProfBrianHoax","GretaThunberg",274
"ProfBrianHoax","LPerrins",275
"ProfBrianHoax","BorisJohnson",275
"PatriotProud45","YouTube",277
"MorningStarPup","YouTube",282
"warmblood","toadmeister",285
"Agata01337882","realDonaldTrump",286
"Agata01337882","Nigel_Farage",287
"Agata01337882","JohnMappin",287
"Agata01337882","MarlboroughOf",287
"Agata01337882","geordiegreig",287
"Agata01337882","Nigel_Farage",289
"Agata01337882","JohnMappin",289
"cmack00d","CNN",290
"JBeutjer","realDonaldTrump",291
"publicbankinga","scientificecon",292
"kennyprop","gemmaod1",296
"Trikkynikky1","UKUN_NewYork",299
"Trikkynikky1","tes",299
"JMESHELL7","YouTube",300
"fiebiePup","miriwood",303
"fiebiePup","Ian56789",303
"Melanie76318741","YouTube",306
"MsAnuJohanna","DrJudyAMikovits",308
"KiwiGal6","JessicaFoxNZ",309
"KiwiGal6","patrickgowernz",309
"KiwiGal6","minhealthnz",309
"CalculoMc","finegael",312
"DESMONDKING3","Harryslaststand",316
"DESMONDKING3","Acadiansheperd",317
"DESMONDKING3","Fredthefish2",317
"jewels8885","Alinherts",323
"jewels8885","MrMasonMills",323
"Ombudsman___","vonderleyen",326
"Ombudsman___","vonderleyen",326
"Ombudsman___","DarkToLiqht",327
"Ombudsman___","melindagates",327
"Ombudsman___","BillGates",327
"g_boxelaer","YouTube",328
"JacobDart5","realDonaldTrump",330
