"clean_school","Conference"
"Abilene Christian","Southland"
"Air Force","MWC"
"Akron","MAC"
"Alabama","SEC"
"Alabama A&M","SWAC"
"Alabama-Birmingham","CUSA"
"Alabama State","SWAC"
"Albany (NY)","AEC"
"Alcorn State","SWAC"
"American","Patriot"
"Appalachian State","Sun Belt"
"Arizona","Pac-12"
"Arizona State","Pac-12"
"Arkansas","SEC"
"Little Rock","Sun Belt"
"Arkansas-Pine Bluff","SWAC"
"Arkansas State","Sun Belt"
"Army","Patriot"
"Auburn","SEC"
"Austin Peay","OVC"
"Ball State","MAC"
"Baylor","Big 12"
"Belmont","OVC"
"Bethune-Cookman","MEAC"
"Binghamton","AEC"
"Boise State","MWC"
"Boston College","ACC"
"Boston University","Patriot"
"Bowling Green State","MAC"
"Bradley","MVC"
"BYU","WCC"
"Brown","Ivy"
"Bryant","NEC"
"Bucknell","Patriot"
"Buffalo","MAC"
"Butler","Big East"
"Cal Poly","Big West"
"Cal State Bakersfield","WAC"
"Cal State Fullerton","Big West"
"Cal State Northridge","Big West"
"California","Pac-12"
"UC-Davis","Big West"
"UC-Irvine","Big West"
"UC-Riverside","Big West"
"UC-Riverside","Big West"
"UCSB","Big West"
"Campbell","Big South"
"Canisius","MAAC"
"Central Arkansas","Southland"
"Central Connecticut","NEC"
"UCF","AAC"
"Central Michigan","MAC"
"Charleston Southern","Big South"
"Charlotte","CUSA"
"Charlotte","CUSA"
"Chattanooga","Southern"
"Chicago State","WAC"
"Cincinnati","AAC"
"Citadel","Southern"
"Clemson","ACC"
"Cleveland State","Horizon"
"Coastal Carolina","Sun Belt"
"Colgate","Patriot"
"College of Charleston","CAA"
"Colorado","Pac-12"
"Colorado State","MWC"
"Columbia","Ivy"
"UConn","AAC"
"Coppin State","MEAC"
"Cornell","Ivy"
"Creighton","Big East"
"Dartmouth","Ivy"
"Davidson","A-10"
"Dayton","A-10"
"Delaware","CAA"
"Delaware State","MEAC"
"Delaware State","MEAC"
"Denver","Summit"
"DePaul","Big East"
"Detroit","Horizon"
"Drake","MVC"
"Drexel","CAA"
"Duke","ACC"
"Duquesne","A-10"
"East Carolina","AAC"
"East Carolina","AAC"
"ETSU","Southern"
"Eastern Illinois","OVC"
"Eastern Kentucky","OVC"
"Eastern Michigan","MAC"
"Eastern Washington","Big Sky"
"Elon","CAA"
"Evansville","MVC"
"Fairfield","MAAC"
"Fairleigh Dickinson","NEC"
"Florida","SEC"
"Florida A&M","MEAC"
"Florida Atlantic","CUSA"
"Florida Gulf Coast","A-Sun"
"Florida International","CUSA"
"Florida State","ACC"
"Fordham","A-10"
"Fresno State","MWC"
"Furman","Southern"
"Gardner-Webb","Big South"
"George Mason","A-10"
"George Washington","A-10"
"Georgetown","Big East"
"Georgia","SEC"
"Georgia Southern","Sun Belt"
"Georgia State","Sun Belt"
"Georgia Tech","ACC"
"Gonzaga","WCC"
"Grambling","SWAC"
"Grand Canyon","WAC"
"Green Bay","Horizon"
"Hampton","MEAC"
"Hartford","AEC"
"Harvard","Ivy"
"Hawaii","Big West"
"High Point","Big South"
"Hofstra","CAA"
"Holy Cross","Patriot"
"Houston","AAC"
"Houston Baptist","Southland"
"Howard","MEAC"
"Idaho","Big Sky"
"Idaho State","Big Sky"
"Illinois","Big Ten"
"UIC","Horizon"
"Illinois State","MVC"
"Incarnate Word","Southland"
"Indiana","Big Ten"
"Indiana State","MVC"
"Iona","MAAC"
"Iowa","Big Ten"
"Iowa State","Big 12"
"Purdue-Fort Wayne","Summit"
"IUPUI","Horizon"
"Jackson State","SWAC"
"Jacksonville","A-Sun"
"Jacksonville State","OVC"
"James Madison","CAA"
"Kansas","Big 12"
"Kansas State","Big 12"
"Kennesaw State","A-Sun"
"Kent State","MAC"
"Kentucky","SEC"
"La Salle","A-10"
"Lafayette","Patriot"
"Lamar","Southland"
"Lehigh","Patriot"
"Liberty","Big South"
"Lipscomb","A-Sun"
"Long Beach State","Big West"
"LIU","NEC"
"Longwood","Big South"
"Louisiana","Sun Belt"
"Louisiana-Monroe","Sun Belt"
"LSU","SEC"
"Louisiana Tech","CUSA"
"Louisville","ACC"
"Loyola (IL)","MVC"
"Loyola Marymount","WCC"
"Loyola (MD)","Patriot"
"Maine","AEC"
"Manhattan","MAAC"
"Marist","MAAC"
"Marquette","Big East"
"Marshall","CUSA"
"Maryland","Big Ten"
"UMBC","AEC"
"Maryland-Eastern Shore","MEAC"
"UMass","A-10"
"UMass-Lowell","AEC"
"McNeese State","Southland"
"Memphis","AAC"
"Mercer","Southern"
"Miami (FL)","ACC"
