"album_name","track_name","song_lyric"
"500 Degreez","500 Degreez","It's the real shit, yeah_I'm about to bring CMR back_And all the lames, we done lost that_And all we got is Weezy, Weezy, and Lil' Weezy to fall back_I'm about to lock it from the summer to the fall and back_""Its Weezy baby!"" The ballers back_And the wheels on my car you got all of that_Stop playing, I've been balling jack_You don't want my Glock spraying - I hit all them cats_You don't want my stomach ache - I shit on them cats_I get all them gats - Fresh and B it's all a rap!If I'm the only Hot Boy what do you call that?_500 Degreez this time biotch_You don't want to fuck with Weezy_You don't want to fuck with Weezy_Bitch what? I'll bust ya ass up_Don't even go there round_Niggas get your cash up_We probably need to clash up_And shit got me 'bout ass up_They finding niggas in they shit with they ass up_It ain't October 31st but we gone mask up - and guess what_And I heard they got a nice chain_Yes sir, you already know_And for the right price I'll bust the right brain_And mommy hot cause pull up in that white thang_Yo nigga might be fly but I still get trifling_Riding through the city just me and my friend_Friday night special, professional tight aim_A gangsta is who you hearing_Me in my building with 20 bricks in the ceiling_I'm more real than, I got more scrill than_Got more skill than them there_I'm a Cash Money Millionaire_You see me? I eat, sleep, shit, and talk snaps; so fuck rap_You don't want to fuck with Weezy_You don't want to fuck with Weezy_Hot Boy, Hot, Hot, Hot Boy, Hot, Hot, Hot Boy_Hot, Hot, Hot Boy_Baby let me get the keys to the rover_No, let me get the keys to the house in Eastover_So I can throw a 500 Degreez platinum party, then the after party_Me and my Squad stomping in this bitch, fuck a Kappa party_Don't go to rapper parties - I'm no rapper man_But when the homies come home we throw a monster jam_Man I got weed, pills, pistols, all crack_And all my people tote chrome - we some monsters man_We gone mob to the promise land_I bought big - I'm a Tymer man_Son of a Stunna - still a girl fuck with a hustler!_Weezy keep it gutter for ya Baby Bubba_Baby blue Mercedes Coupe - Got it bullet proof_Make me shoot my 80 duke at your fucking roof_You're fucking with a big dog, nigga fucking woof_Mr. S-Fucking-Q - I'm the fucking truth_Three stripes, maybe Nikes, lot of ice fucking ooohf!_Bitch niggas where ya hearts at?_That's 500 Degreez!_You don't want to fuck with Weezy_You don't want to fuck with Weezy_Hot Boy, Hot, Hot, Hot Boy, Hot, Hot, Hot Boy_Hot, Hot, Hot Boy_Bitch get your mind right, Bitch get your mind right_Ya'll ain't stuntin' like us_Bitch niggas where ya cars at?_They like, ""Wayne why the fuck you dressed in all black?"""
"500 Degreez","Believe That","Push Impalas and Caprice's (Believe that daddy)_Got the gator inside (Believe that daddy)_Fine bitch, bow-leg (Believe that daddy)_And she go both ways (Believe that daddy)_Slugged up in the front (Believe that daddy)_Got a trunk full of bump (Believe that daddy)_Got cribs, cars, bikes, dykes (Believe that daddy)_Cause that's what hoes like (Believe that daddy)_Now I do it for the ladies, do it for the ladies_I do cause I wanna push a cat-eye Mercedes_I do it for my dudes, do it for my dudes_Starch flat no creases (Believe that daddy)_All the niggas on the block that got that work to move_It's Weezy baby, young and from the Dirty South_Get up your dope, I'm putting birdies out_Like thirty in my mouth, so I can say_Fuck you bitch you still ain't got a dirty mouth_The hood still ain't got over the drout_So you should sleep on your roof, just to watch over ya house_Nigga we timin', the cost of my watch over ya house_I'm a boss man, I watch over the South_Jazze Pha, let's hop in the Lammy (Lamborghini)_Got that work, you a D boy (Believe that daddy)_Stop by Sammy, chill in the hood, you good, you family_My boys like to pull them blammies, and big pimp_Mami suck dick 'til she pull your hammy, homey_You know we only, keepin it gangsta_Deep in the Range, 17 in the chamber_All I need is my banger, nigga it's Weezy_This shit is over somebody cue me_(Chorus)_(Verse 2 - Lil' Wayne)_You don't wanna play wit me, I touch you man_You a H-O-T Boy (Believe that daddy)_Lose ya man in a tussle, but y'all don't see me_Y'all can't hear me, this a def jam, call me Russell, man_I played on Martin, call me hustle, man_And now y'all know I'm the yee-yo muscle, man_But on the under, I got that wonder, to stop that thunder_That rumble in the side of ya stomach, piled on water_How do you want it, come through in a Coupe powder blue or_High with water, how do you want it man_Ay, I towed a lot of tullies dun, I den broke a lot of hoopties dun_I den drove a lot of QP's from, here and there on the road_Do ya Bentley got them hoes (Believe that daddy)_For the nigga gotta move his son, and I show you how to do this son_That's, that boy Weezy We, CMB, BITACH, and ya stunned_(Chorus)_That's, that weed smell in yo clothes (Believe that daddy)_Bet a hunderd, shoot a hundred (Believe that daddy)_It's my block, I run it (Believe that daddy)_Got them 20's on ya ride (Believe that daddy)"
"500 Degreez","Big Tigger Live On The Radio","- A u lockdown ta the south to W.B.I.T.C.H were the w stands fo wah! hit us at 180-nobitch wut happenin'_- Hello_-Yo_- Yeah man check this shit out I went to the concert last night you know the after party and the niggas put on rashed's shit_- Roc master rashed?_Yeah you know wut I mean ain't nobody move noboby did shit but when they put Wayne's shit on everybody you know tvs fell down mutha fuckin' helicopters come from the fuckin' sky twirlin an shit niggas throwin' money every goddamn were but you know rashed mandat nigga you know put countryness in rappin' he want ta save the whales dosomethin from the fuckin' earth_- Yeah he ain't bringin' that heat like 500 degreezdats wut we got right heh wit lil wayne and cash money caller 2 get up out ah heh"
"500 Degreez","Big Tigger Live On The Radio - Album Version #2 (Explicit)","(Big Tigger)-a u lockdown ta the south to W.B.I.T.C.H were the w stands fo wahh!!! hit us at 180-nobitch wut happenin_{Caller)-hello_{Big Tigger}-yo_{caller}-yeh man check this shit out I went to the concert last night u know the after party and the niggas put on rashed's shit_{Big Tigger}-Roc master rashed?_{caller}yeah u know wut I mean ain't nobody move noboby did shit but when they put Wayne's shit on everybody u know tvs fell down mutha f**kin helicopters come from the f**kin sky twirlin an shit niggas throwin money every goddamn were but u know rashed mandat nigga u know put countryness in rappin he want ta save the whales dosomethin from the f**kin earth_{Big Tigger}-yeah he ain't bringin that heat like 500 degreezdats wut we got right heh wit lil wayne and cash money caller 2 get up out ahh heh"
"500 Degreez","Bloodline","The streets make the hustlas_But you can't knock the hustle_But I- it's like a game of twenty-one and I got nineteen_And my J butter put more 'd' on me_Lil Weezy Wee gon eat that's how it is_Got insurance on the floor man I'm that positive_And I'm shaggy in the saggy lens_Me an my squad in the paddy wagon tally Benz_And you know I put the mags on that_.45 mack with the flash on that_Who want it_Hustlas make the world go round_Everybody sing along_Now I'mma ride cuz I got riding in my bloodline_And I'mma shine cuz I got shining in my bloodline_I get that dough cuz I got hustle in my bloodline_I bleed concrete_And when I move, I move out with the raw_I move out with the squad_To his album we ride we so mob_I throw lives and lowest to live_For my loaf of bread the people's player_The world is made of keys, ounces and pounds_I did what the culture said_And I live by La Costra Nostra said_Fuck around I'll knock your shoulder from your head_Get it right I'm a soldier till I'm dead_This kid is white with buttonholes inside that bled_I'm pumping o's with lots of hay_I'm so high and really I don't even know why_And oh I just go buy a whole house_And lay my mat down lay her back down_But I never put my mack down_The keys, ounces and pounds is made from hustlas_You see the thug in me_You know Weezy he the young son of Bubba-B_Buy my basketball shorts with a thunder B_If you want it then come to me_I'm right here_I'm G'd up_Only follow the code of the streets_Live bad to die good_Know how to move when hustling by the days with no food_But just so I can eat_See how shit come back round for ya_And ain't it a bitch_And if you see me getting fat I'm probably getting rich_And you probably can see me for some crack before six_And after that it's all bricks_A fake and my palm is wrapped around this eight_And my arm because the dirty south is straight Vietnam_I skate with the bomb_I'm asking you don't play with me at all_Shots hit your ass and make three of y'all_It'll take three of y'all to fill one of my shoeprints_Gotta cop it, chop it and cook it_Cuz I did and do shit that's better than new shit_Fit for two clips_The kid is a nuisance_Awww man, he's inspired by his own gangsta music_And the Blueprint_Cruising through stoop with the ewe lit_Like ooh shit this is more than weed, it's 500 Degreez_See how shit come back round for ya_Gotta kick in the oven now watch it bubble_And you can knock on my door"
"500 Degreez","F*** You","Who that, Weezy Bitch_Bitches yell I wanna do those guys_Ain't that cold, you know shit fucked up when you got banked at fo'_I'm 19 and I got banked at O_That's the Bentley ma, that ain't that Rolls_But the price on that muthafucka ain't that low_Guaranteed that I'll bang that fo'_If your fuckin with the dude_Bitch I'm from Cash Money Records, Fuck You_Fuck you, fuck you nigga, muthafuck you_Chains, knives, guns that's us_Like Sigel, you fuckin with the young don, people_The slogan is ""we will bust""_The rules our this our side_Cross it young nigga and you will die_Pumps, riot guns, even 25's_Cash Money got this, don't even try it_Stay where you from, don't bring no static_If not, then semi-automatic_This is the payback, pussy bitch stay back_Fuck you, yo' mama, yo' daddy and where you lay at_What's beef, beef is when you fuck with us_Plus I'm tryna make a son, he gon' be the sequel_Guaranteed to leave yo' ass up under the bus_There's no one quicker, than a hot boy nigga_That'll get you with the knife, or pow with the trigger_There's no one keaner, with the chrome Sarafina_Murder ain't nuttin' but a misdemeanor_Fo' sho' nigga_I'm gon' ride 'round my city and stunt my shit_If a nigga don't like it they can suck my dick_I got a Bentley, Jag, Rolls, Ferrari_Muh'fuckas better be peaceful, fo' sheezle_Lambo' with no top I'm gon' ride tomorrow_Fuck a cutless, regals, and rams V-12_Gotta have somethin fast just to get out them jams_Got a big ass crib with a flow lil fuck_Got a roof all glass and that bitch split up_Got a house built look like a Mercedes booth_Ferrari sofa set with the Lambo' wrench room_Leskitted up kitchen set and Rolls Royce wall_Jaguar floors and fuck all yall_BMW lights, projectors to watch fights_I get sums in lumps, like measles_Caddilac Benz, white fox for threads_Chin cheddar for Chi tower, ain't that crazy_I don't give a fuck homie, that's how I play it_Refridge designed like a Lexus with legs_In the fridge, it's quarters to replace the eggs_From me, Fresh, and Weezy fuck what they say_I'm Cash Money stunna nigga and that's how I play it_My dough sick, on occations I catch seizures_I treat beef like burgers, just cheese you_And for that cheddar, hungry niggas'll eat you_We breeze through in the twelve with the judo eyes"
"500 Degreez","Fly Talkin'","Ladies and Gentleman_Keep coughin, he cough too much_Wipe em down, I wipe em down_It's 500 motherfucker_I tell you, this summer is on lockdown_Handlin' business, taking care of baby mammas_Takin' care of bustas, takin' care of pimps_I love them hoes, I love them hoes_I pimp a bitch, 500 Degreez nigga_We've got a young man tonight that started out with Cash Money_And gonna finish with Cash Money_Ya'll know him as Lil Weezy_Off the Heezy, Fo Sheezy_Better believe me_And he is, Birdman Junior_500, 500, 500, Degreez, please_Ain't that some lovely shit? Bitch"
"500 Degreez","Fly Talkin' Go Home",""
"500 Degreez","Fo Sheezy","You know they saying since the bar back on the 'dro, he lackin the flow_That's why I keep the platinum blinging_Every diamond's like a nice size_I help people with problems look at the bright side_With nice ties on a rise so they sitting me high_And the rims born in '79_Weezy carry the nine Glocks_Slipping they gon have to get six niggas name called carry a pine box_Marry me ma, not_But here's what you can do to me_Give me good brains tutor me_And if that ever happen whoa I ain't rapping no more_W-E-E-Z-Y Wee_They call me Weezy Weezy fo sheezy_Banana clip on the heater_Banana whip on them sneakers_Banana dick going deeper_Got a good game honestly so respect the young'nGot your girl undercover like a detective woman_I'm a mess blow a vest to onion and I'll test your stomach_And the pistols right next to him cousin_I'm a player having sex with dozens_Sex with cousins hoes dissed with husbands_I'm good with a pina, daq and an o_My pants is down her dress is up_Her head down and her neck is tough_She suck till I say, ""That's enough!""_We fuck till her ass fractured up_And when I nut no shower bitch pack your stuff_Am I a mack or what_Yep, Weezy macaroni with a bony model bitch_Are you modeling ma_She got her own whip so you following ma_She said she like that squad shit_Gagging and choke like ho put the dick back in your throat_So oh you swallowing ma_She said she like that hot dick_Well miss I got three bricks and two pills pop_One blunt mami let's roll_And understand, I know what my name is, right_Bitch say it_W-E-E-Z-Y Wee_I'm so gangsta_If she don't go down no thank you_I got so many bitches so ain't ya_Still packing fo sho_Got so many pictures of Ben Franklin_High top tennis on the car cover of the whole game cold_Fuck it up with me niggas come from all angles_Representing S-Q like the Star Spangled_White tee-fish at Kango_Low top Nikes plus my ho pop Nikes_How exciting we riding in the third lane_Said she like Juvy but prefer Wayne_She can give me head_Call her birdbrain on everything_Yeezy Weezy off of the heezy fo sheezy_It's Young Weezy cuz I be golly_My neck more colorful then Nelly, Murph, Ky, Ali_I'm so cold deep_Low seats in the old drop blow reef_Like no cops could fuck with this_Swiftly no tops on the whippy_Cash Money hot Bizzy Lil Wizzy get with me_Now I'ma, I'mma ask you again_You know my name right bitch_Bitch say it_Cruise with the top off of the 'Ghini_W-E-E-Z-Y Wee_Bitch holla!_Bars got cheese I got cheddar linguini_That's why I keep the federals scheming"
"500 Degreez","Gangsta And Pimps","Ladies and gentlemen_Kool-Aid and chicken_Flashy things and women_All I need_Is Remy and weed_Somebody not afraid_To co-sign for my Escalade_I'm just pimping_Baby you got a rule for me_Put your mink on and slide in a cool for me_Hey you gotta get high and go low for me_This one goes out to that little kid that got fried Spam for lunch_It's Cash Money young money never know money_It's 500 Degreez it's not four buddy_And the dro got me so scummy_And to drum hole a whole hundred_Can I put a whole hundred in your whole tummy_Hehe, man Weezy's a legend_You can tell by the bottom of my sleeve when you see what's in a bezel_And he be on a level that's so terrific_I'm in this bitch hold your pictures_And hold your bitches cuz she gon want a part of me_I feel for you, I'm with you, I'm with you brother_Cuz she never see the roof of my car with me_And you never see a tooth without a diamond on it_This is game at its finest homie_Peep it_See I was born from a gangsta_Pa gave me a whip_Ran numbers with pimps and I laid down cents_One of a kind Birdman I shine_22's on it?_The bitch ain't mine_And this one right here is for that ghetto girl with the bad perm_I taught her the game ma_I gave it all to her_Weezy Wee my son I give it all to him_The Birdman junior I'm the son of a stunna_Mannie Fresh_Jazze Phezzy this our summer_500 Degreez got rich off the four_Cadillac slant back cut side elbow_Cadillac smoke dro just me and the ho_Flash from hard times from that coke and dope_That just burn baby, burn baby, burn_Put cars in moms name just to duck white folks_We eat lobster and shrimp_Nigga park that Lambo_I'm a V.I.P. nigga_Pop bottles of Mo_I pray that one day I'll open a better door_Ain't no mountain high enough_To me for cuz I keep on buying fi-fi stuff_And the Eastside where we pump_It's my part of New Orleans_Pop open a malt liquor_Bleed for ya I'm the heart of New Orleans_Hear you're fucking with a gangsta foe_Hope you never close your eyes I'll bang your ho_All she need is some guidance I'll tame your ho_It's big pimping over here man yeah man_If she looking for a daddy see the lil man_Weezy Baby, don't fool yourself you need me baby_Easy baby, I'm just trying to keep my bread cheesy baby_Slick when I spit shit right_26-inch got a deep-dish ma_Smoke something until your scalp gets killed_Sweet as mami lips when I'm creeping by_Baby gave me wings just to keep me fly_Weezy I, hell yeah_And I'm rolling with them_Gangstas and pimps_Love lobsters and shrimps"
