Date,Schl,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
3/17/16,Kansas,Austin Peay,W 105-79,200,39,70,0.557,33,54,0.611,6,16,0.375,21,27,0.778,105
3/17/17,UNC,Texas Southern,W 103-64,200,38,75,0.507,30,53,0.566,8,22,0.364,19,26,0.731,103
3/16/18,Xavier,Texas Southern,W 102-83,200,35,64,0.547,24,40,0.6,11,24,0.458,21,32,0.656,102
3/25/16,UNC,Indiana,W 101-86,200,32,62,0.516,21,42,0.5,11,20,0.55,26,33,0.788,101
3/16/17,Arizona,North Dakota,W 100-82,200,36,62,0.581,32,51,0.627,4,11,0.364,24,28,0.857,100
3/17/17,Kansas,UC-Davis,W 100-62,200,36,64,0.563,25,39,0.641,11,25,0.44,17,20,0.85,100
3/17/16,Indiana,Chattanooga,W 99-74,200,37,57,0.649,27,40,0.675,10,17,0.588,15,18,0.833,99
3/22/18,Michigan,Texas A&M,W 99-72,200,39,63,0.619,25,39,0.641,14,24,0.583,7,8,0.875,99
3/28/19,Purdue,Tennessee,W 99-94 (OT),225,34,63,0.54,19,32,0.594,15,31,0.484,16,33,0.485,99
3/23/17,Kansas,Purdue,W 98-66,200,34,62,0.548,19,34,0.559,15,28,0.536,15,22,0.682,98
3/17/17,UCLA,Kent State,W 97-80,200,37,59,0.627,30,45,0.667,7,14,0.5,16,23,0.696,97
3/29/19,Auburn,UNC,W 97-80,200,36,66,0.545,19,29,0.655,17,37,0.459,8,17,0.471,97
3/15/16,Fla. Gulf Coast,Fairl. Dickinson,W 96-65,200,34,57,0.596,26,34,0.765,8,23,0.348,20,34,0.588,96
4/2/16,Villanova,Oklahoma,W 95-51,200,35,49,0.714,24,31,0.774,11,18,0.611,14,19,0.737,95
3/14/17,Kansas State,Wake Forest,W 95-88,200,31,47,0.66,25,31,0.806,6,16,0.375,27,36,0.75,95
3/17/18,Kentucky,Buffalo,W 95-75,200,36,64,0.563,29,49,0.592,7,15,0.467,16,23,0.696,95
3/31/18,Villanova,Kansas,W 95-79,200,36,65,0.554,18,25,0.72,18,40,0.45,5,7,0.714,95
3/22/19,Oklahoma,Ole Miss,W 95-72,200,34,59,0.576,28,46,0.609,6,13,0.462,21,26,0.808,95
3/17/16,Iowa State,Iona,W 94-81,200,32,64,0.5,22,42,0.524,10,22,0.455,20,25,0.8,94
3/15/18,Seton Hall,NC State,W 94-83,200,28,58,0.483,21,37,0.568,7,21,0.333,31,39,0.795,94
3/18/18,West Virginia,Marshall,W 94-71,200,33,66,0.5,21,41,0.512,12,25,0.48,16,18,0.889,94
3/28/19,Tennessee,Purdue,L 94-99 (OT),225,34,68,0.5,22,44,0.5,12,24,0.5,14,28,0.5,94
3/17/16,Duke,UNC Wilmington,W 93-85,200,29,54,0.537,25,39,0.641,4,15,0.267,31,43,0.721,93
3/17/17,Oregon,Iona,W 93-77,200,35,63,0.556,26,40,0.65,9,23,0.391,14,21,0.667,93
3/17/17,South Carolina,Marquette,W 93-73,200,36,68,0.529,28,44,0.636,8,24,0.333,13,19,0.684,93
3/18/16,Texas A&M,Green Bay,W 92-65,200,32,57,0.561,25,38,0.658,7,19,0.368,21,28,0.75,92
3/20/16,Texas A&M,Northern Iowa,W 92-88 (2OT),250,31,71,0.437,24,39,0.615,7,32,0.219,23,34,0.676,92
3/24/16,Villanova,Miami (FL),W 92-69,200,32,51,0.627,22,36,0.611,10,15,0.667,18,19,0.947,92
3/17/17,Michigan,Oklahoma State,W 92-91,200,29,56,0.518,13,27,0.481,16,29,0.552,18,22,0.818,92
3/24/17,UNC,Butler,W 92-80,200,31,57,0.544,22,33,0.667,9,24,0.375,21,33,0.636,92
3/18/16,Oregon,Holy Cross,W 91-52,200,34,61,0.557,28,41,0.683,6,20,0.3,17,22,0.773,91
3/17/17,Baylor,New Mexico St.,W 91-73,200,35,61,0.574,31,53,0.585,4,8,0.5,17,19,0.895,91
3/17/17,Oklahoma State,Michigan,L 91-92,200,35,64,0.547,28,48,0.583,7,16,0.438,14,16,0.875,91
3/18/17,Xavier,Florida State,W 91-66,200,30,54,0.556,19,37,0.514,11,17,0.647,20,26,0.769,91
3/22/19,Buffalo,Arizona State,W 91-74,200,31,60,0.517,21,33,0.636,10,27,0.37,19,26,0.731,91
3/18/16,Middle Tenn.,Michigan State,W 90-81,200,33,59,0.559,22,40,0.55,11,19,0.579,13,21,0.619,90
3/19/17,Kansas,Michigan State,W 90-70,200,34,64,0.531,26,44,0.591,8,20,0.4,14,15,0.933,90
3/17/18,Gonzaga,Ohio State,W 90-84,200,31,58,0.534,22,36,0.611,9,22,0.409,19,31,0.613,90
3/23/18,Villanova,West Virginia,W 90-78,200,27,54,0.5,14,30,0.467,13,24,0.542,23,27,0.852,90
3/23/19,Florida State,Murray State,W 90-62,200,36,71,0.507,25,44,0.568,11,27,0.407,7,9,0.778,90
3/15/18,Duke,Iona,W 89-67,200,36,67,0.537,23,37,0.622,13,30,0.433,4,8,0.5,89
